Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1053,0,4,4.96255978311749,1.9824759801849723,66.77700206637383,8649.0,3.408628147344019,0.0,4,5,6,6,7,9,11,12,62,67,67
GET,/catalogue,5921,0,8,8.39774613028804,4.654700052924454,46.86771798878908,2795.0,19.166654568303834,0.0,8,9,9,10,11,12,14,15,40,47,47
GET,/category.html,5921,0,5,5.183276874510286,1.9075659802183509,70.01897203736007,11518.0,19.166654568303834,0.0,5,5,6,7,8,10,12,14,40,70,70
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,669,0,5,5.2735874737697825,2.132201916538179,14.296400942839682,10364.0,2.165595660563294,0.0,5,6,6,7,9,10,11,13,14,14,14
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,650,0,5,5.232661616486999,2.1083259489387274,47.02313803136349,10364.0,2.1040914489777895,0.0,5,5,6,7,8,10,12,13,47,47,47
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,630,0,5,5.233992059116384,2.042514970526099,42.729305918328464,10364.0,2.039350173624627,0.0,5,5,6,6,8,10,12,13,43,43,43
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,667,0,5,5.155478077912717,2.1568950032815337,23.27149105258286,10364.0,2.159121533027978,0.0,5,5,6,7,8,9,11,12,23,23,23
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,653,0,5,5.391462544331564,2.1067989291623235,68.92735394649208,10364.0,2.113802640280764,0.0,5,6,6,7,8,10,11,13,69,69,69
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,644,0,5,5.286807157475247,2.078346093185246,67.30685394722968,10364.0,2.084669066371841,0.0,5,5,6,7,8,9,12,14,67,67,67
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,680,0,5,5.361905119121623,2.0171799696981907,42.62457590084523,10364.0,2.2012033620075337,0.0,5,5,6,7,8,10,12,14,43,43,43
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,642,0,5,5.2102736178916125,2.098400960676372,14.738749945536256,10364.0,2.0781949388365244,0.0,5,6,6,7,8,9,11,11,15,15,15
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,640,0,5,5.320595679586404,2.1641949424520135,43.33657096140087,10364.0,2.071720811301208,0.0,5,5,6,7,8,10,12,14,43,43,43
GET,/login,1053,0,61,61.24059333661014,26.337861083447933,81.541612977162,13.0,3.408628147344019,0.0,61,62,64,64,66,68,71,75,81,82,82
,Aggregated,19823,0,6,9.13646459273827,1.9075659802183509,81.541612977162,7806.934318720678,64.16831506628726,0.0,6,7,8,9,11,56,62,65,71,81,82
