Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1720328271,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1720328272,1,,Aggregated,0.000000,0.000000,67,67,67,67,67,67,67,67,67,67,67,2,0,7.423236034810543,37.019865529146045,7.423236034810543,66.61649502348155,4331.0
1720328273,2,,Aggregated,0.000000,0.000000,67,67,69,69,69,69,69,69,69,69,69,4,0,7,37.439530773554,6.985626998357475,68.73276503756642,4331.0
1720328274,3,,Aggregated,0.000000,0.000000,27,67,67,67,69,69,69,69,69,69,69,8,0,11,32.5619263749104,5.565132945775986,68.73276503756642,5037.375
1720328275,4,,Aggregated,2.000000,0.000000,11,27,67,67,68,69,69,69,69,69,69,13,0,11,27.2587387679288,3.554938011802733,68.73276503756642,5664.461538461538
1720328276,5,,Aggregated,2.000000,0.000000,11,27,60,67,68,69,69,69,69,69,69,17,0,11,25.71591135004864,3.554938011802733,68.73276503756642,5683.117647058823
1720328277,6,,Aggregated,2.666667,0.000000,11,12,60,67,68,69,71,71,71,71,71,21,0,11,25.282080379492115,3.554938011802733,70.98747498821467,5694.666666666667
1720328278,7,,Aggregated,3.250000,0.000000,7,11,27,67,68,69,71,71,71,71,71,30,0,7,21.437203003248822,2.564100082963705,70.98747498821467,6265.6
1720328279,8,,Aggregated,3.400000,0.000000,7,11,27,65,67,69,71,71,71,71,71,34,0,7,21.55621100203408,2.564100082963705,70.98747498821467,6204.205882352941
1720328280,9,,Aggregated,3.500000,0.000000,7,11,12,60,67,68,71,71,71,71,71,45,0,7,19.294626400288607,2.564100082963705,70.98747498821467,6382.688888888889
1720328281,10,,Aggregated,4.285714,0.000000,7,11,12,27,67,68,69,71,71,71,71,51,0,7,18.863438767855804,2.564100082963705,70.98747498821467,6488.705882352941
1720328282,11,,Aggregated,4.250000,0.000000,7,9,12,14,67,68,71,72,72,72,72,63,0,7,17.533945590479387,2.564100082963705,71.79801003076136,6729.857142857143
1720328283,12,,Aggregated,5.000000,0.000000,7,10,11,12,66,68,71,72,72,72,72,72,0,7,17.117828002988567,2.564100082963705,71.79801003076136,6749.25
1720328284,13,,Aggregated,5.100000,0.000000,7,9,11,12,67,68,71,72,72,72,72,80,0,7,16.78673290007282,2.564100082963705,71.79801003076136,6879.7125
1720328285,14,,Aggregated,6.100000,0.000000,7,10,11,12,66,68,71,72,72,72,72,95,0,7,16.167020547742908,2.564100082963705,71.79801003076136,6897.694736842105
1720328286,15,,Aggregated,6.800000,0.000000,7,10,11,12,66,68,69,71,72,72,72,109,0,7,15.5069517450185,2.564100082963705,71.79801003076136,6996.798165137615
