time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders-db_disk,rabbitmq_disk,user_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1720275866.985,0.011392228720942683,0.005427413975486037,0.002002647145320868,0.0008216975750995294,0.003039196121123043,0.004544813368071523,0.004989280503620449,0.0018626872345740694,0.006456828543166432,0.09206936319203281,0.0045771136786091965,0.003187950111609169,0.006107941211073282,42653823.075006224,7663188.114879867,344202.30552782066,2223.669923995657,1106723.6984865481,7076521.439186834,10176182.13912605,565774.526248171,106683801.7988313,10998230.013045955,20850904.690746073,1010712.8831461084,3012329.488939197,14015213.983126266,517.5731537808907,74.35781065625851,0,4368.745287702974,2404.858448158817,295.1114953708707,73.08804111202312,26538952.72114451,5569259.467504548,223.93118781207858,14495.036567881969,219.04133763525198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012947647691358645,0.00047475046590020846,0.0004400257675157942,0.00015110043169634082,0.0007686252142378188,0.0005835853253911758,0.0005140508079514541,0.0003514868564584679,0.0009406036182035922,0.009315580940287114,0.0005921453163353053,0.0006317099440433534,0.0009025608819658515
1720275871.985,0.014109788086253407,0.005666115983284977,0.0026044922981034637,0.001044130307870243,0.005660538877076573,0.0049167665824662865,0.005144062792213838,0.0022476194977144003,0.00667652198612552,0.09312225697838598,0.004647621429599271,0.003451408844716944,0.006279648417927065,43005423.899371065,7751987.007536358,337643.7360876146,3910040.351746801,1146408.9770935734,13621907.82710074,10523710.086616373,575061.7203008615,132547711.51290034,8678994.098693024,20580123.46211958,985725.613570956,2512177.860257956,21199394.501347706,971.6611010747979,72.94096696643219,0,36466.289529815454,2532.370034092314,457.781503213188,0,26379713.69785692,5487877.774157344,368.3718253111735,2196.521459342545,228.04119884940144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012439471408002044,0.000520980699240988,0.0005541706846434196,0.0001884459619818066,0.0010524217617554072,0.0006694209925179422,0.0005589231159075171,0.0003668820325581025,0.001011136177945274,0.009531976957288992,0.0005910098825017499,0.0005981289163737351,0.0009095663336633786
1720275876.985,0.019064659354815314,0.005801139428652998,0.0029847995934301186,0.0014167036281429203,0.01102902892920955,0.004906787987586982,0.004986897591125773,0.0022262289328893073,0.007122609165939497,0.09185521892254887,0.00487676333835991,0.0036687242736345746,0.0063271888026526744,43352157.34088105,10100587.049230054,341167.53917282814,3916901.6321129245,1150327.0879412142,13913363.98080323,10237884.10578021,382600.73843480775,105871413.61256544,11171395.314132221,20540369.38101393,1217015.4047969368,3082596.7060195305,28506349.662529938,1388.648002426708,221.05888067353877,0,50688.06551264007,2808.2127521379853,296.967609795001,0,26337917.393833622,5656373.675570811,441.1891426109435,580.8796156777934,223.87407083515524,0,73.08673696982673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002155646340488295,0.00045187316223013535,0.0006004178724273827,0.00020594291369320045,0.0011442607581457383,0.0006378393625218249,0.0005265640752155236,0.00035401631614961383,0.001025910861468017,0.009789122575189975,0.0006015936614569815,0.0005623373006754085,0.0008777624475983778
1720275881.985,0.021178111737692906,0.006014520561501246,0.0037048834748838553,0.0019951767122031723,0.016078105857037825,0.004737942088003151,0.005118982526210682,0.0019408369251682153,0.007199589541029208,0.09432018627415237,0.004260692568185995,0.0039787454855808105,0.006581133554248268,43895817.78104336,7787339.099838734,339846.6898954704,3910108.370771065,1165212.963640354,13895313.56084904,10071658.226945294,385198.61541264347,80999624.81223924,10920177.907400656,20941709.097565442,1233473.3626808014,3150540.4721125923,28862504.628949307,1801.495381908811,594.65737514518,0,61729.1681907967,2804.5695340372627,365.16653591042,74.62197121515759,26866873.620769594,7365333.722201969,374.88559399597295,441.5775761387117,305.0115421848239,0,75.0623075795338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025280813508274788,0.000447827627751561,0.0005640470673808728,0.0002325508321263773,0.0011159172886081993,0.0006428908089844353,0.0005670105290917962,0.0003937256604701341,0.0010585109385167013,0.011419416946330639,0.0005970680186115425,0.0004860036158938266,0.0009206146005013825
1720275886.985,0.027634262975778544,0.006152133659761915,0.004558835406927522,0.0026345853493426447,0.020426769961612894,0.004506696683845334,0.005067953104583938,0.0022108605840922553,0.006716475674128167,0.09420942927060884,0.0045682026397089745,0.00419957458254355,0.0066830637780891395,50138574.39446367,7735488.878371985,174442.22770272757,3807848.362846047,84825.1710959026,14043119.552747073,12632284.236338578,578444.1798699514,78153515.20031492,10945306.694912158,13945927.938138677,1236822.6735264915,3595323.696858982,35307847.75086506,2385.8167388692714,904.6269370927964,8099.4762532511495,79582.75708825882,2610.6750678345747,293.2574415149725,75.02518545654364,25923523.68171489,7382643.924175463,374.38531707584593,443.6501489304088,217.93803096678076,0,74.55677308966473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030484385491921476,0.0003746343060409895,0.0004913205637281254,0.00023445440131174546,0.0012845840848113989,0.0006095526411574037,0.0005346875471180512,0.0003985069276320623,0.0010241274600302742,0.009929581080821552,0.0005271331902403665,0.000534192227499019,0.0009306847354956426
1720275891.985,0.030737523033436517,0.006565617469446442,0.0055397165672165655,0.0032729258423721775,0.025848416890163935,0.004504892592058769,0.005190997184239101,0.002150970870152891,0.006832776377054273,0.09456632893348392,0.0044293446418666085,0.004660614181611264,0.0069836432956263544,49774933.1806716,7635903.953989935,168785.67918567918,7710613.366059666,116540.81689358156,13892662.67925344,10393438.87222335,560263.3416458853,80381389.91847178,8890830.66442046,20471131.81956448,1012966.61098772,3692794.2874838337,35053309.623056695,2871.0280373831774,1006.3882063882064,8205.45398761934,100607.50208391222,2730.2731137854003,301.5256639122514,72.96045600285001,26663009.882768653,7485889.849491826,366.453737005028,300.73973457662584,373.06228027032444,0,73.61610352264557,0,0,0,0,0,0,0,0,0,0,74.6124560540649,0,0,0,0,0,0,0,0.0034976480841026445,0.0005022474997526732,0.0005438519033825185,0.0002770632953249419,0.0015497045387378987,0.0006149804976566575,0.0006197029101715867,0.00037362017000143997,0.0009494357858084194,0.010112191854086188,0.0004943270354136167,0.0006545533156482059,0.0010254917743805765
1720275896.985,0.03729873182327134,0.006775656304067737,0.006350781439908487,0.004373937592325789,0.033452185456773226,0.004414134644423004,0.0050452701329022995,0.0018896150705381455,0.006868738879101541,0.09275609460582411,0.003987264666952518,0.005398630376666237,0.007083691247292192,43740639.58589548,7824091.293944415,339039.39372274256,7792805.646234931,138916.33290464815,14028876.380373677,12675678.160919541,389658.64577504195,80150568.89084636,10836463.906351615,21323390.689957306,1017750.9172366745,3025820.362711925,35977344.07753446,3618.774157923799,1317.795095445771,9262.74323856072,116415.80011023332,2161.0056943256864,294.25287356321843,76.40365603432195,26587243.338471703,9131277.115398511,305.4380045114744,302.07046590091994,366.6505540934887,0,75.39112829007915,0,0,0,0,0,0,0,0,0,0,73.33011081869775,0,0,0,0,0,0,0,0.00351472394925307,0.000585554691541328,0.0005772638092439705,0.0004659340078333752,0.001715132636734668,0.0006540205018430461,0.0006204245915326839,0.0003255647271873703,0.0009276514611161835,0.010052562715978085,0.0004967888204538228,0.0007477294436237965,0.0011159562541344483
1720275901.985,0.04385791825070281,0.007252884749411615,0.00789344497266582,0.0054087132826427025,0.041629675014846435,0.004479562597056867,0.005165007890670984,0.002173551371182243,0.006560156728050456,0.0936981720647773,0.004116259276792564,0.005601982323462416,0.007415039276898503,51664062.85256828,7756326.868694239,358211.84744737117,11657290.209917417,194336.85050219373,14255885.232566739,10385704.532077694,383039.67715307715,79162482.99862249,12888509.906488482,13885918.793925932,1008343.7630979498,2457852.766081022,43699309.143038005,4259.582930433672,1613.220844176452,9238.985702332013,173692.73722760074,2271.6852769355914,376.69217186580346,75.13528386682565,26259330.38497789,10858046.791587546,298.313972542879,373.21184510250566,371.7148250326702,0,74.72952509532757,0,0,0,0,75.3384343731607,0,0,0,0,0,74.34296500653404,0,0,0,0,0,0,0,0.004927936669889014,0.0007558674424337149,0.0005491609460028473,0.000558624606991553,0.0018110746829738996,0.0006233040830059093,0.0007044225413605677,0.00033115613694572937,0.0008844895179911489,0.010172504405460461,0.00059285682075995,0.0008264414296327816,0.00104213894507908
1720275906.985,0.05344316746724884,0.007731483058716431,0.00941140447516568,0.0064674518618776785,0.04887623450063979,0.004450007467296545,0.005023425417843583,0.0021234625910787276,0.006609054477077388,0.09446072877418885,0.004228339264770562,0.006460457995349581,0.007589999074174927,57606931.00436681,7741272.207555757,342963.0157485926,11930151.869985292,193462.14996777198,14010269.76744186,10158681.323426228,185692.1272436467,104286624.6418338,10974708.856129056,20956720.71543762,1223805.3213582064,3071219.2571615293,49736887.33624454,5220.209376422394,1897.2422147794484,9455.18178602677,182021.62858984462,2158.1395348837204,368.457981757012,145.58379242935845,25945196.56160458,9245629.586275013,225.18692273860137,363.51372938816803,371.78230403369275,0,74.57441966317705,0,0,0,0,73.69159635140241,0,0,0,0,0,74.35646080673855,0,0,0,0,0,0,0,0.00514531452329568,0.0007407890372988897,0.0005838917458303383,0.000786080761318247,0.002177125136788398,0.0006012682142938396,0.0007290227911627988,0.00035419914205090384,0.0007101415779337422,0.008539205496904572,0.000703771871626684,0.0009545908209689915,0.0010736966860717017
1720275911.985,0.060427044121915845,0.008133603213083911,0.010751910349097664,0.007532877023363567,0.05865217370548373,0.00456838982353152,0.005168652526844285,0.001917022230024392,0.004536165840348161,0.09485748485786606,0.00480894913176336,0.007110815101504305,0.00797470387938031,57269094.920174174,5137303.18051887,352739.49702256295,15716354.109941864,204703.05501948076,13801072.985646274,10346501.704108182,193083.30253529456,77892300.75617063,13101784.71400215,20914625.240160286,1012858.1860668906,3050927.91314228,56585288.82438317,6002.388102905526,2013.9493380438148,9344.028258149974,189937.5887557805,2125.926191072771,375.2702752226335,151.37852021583265,511.34255956627186,11039276.81969661,6885576.037035002,373.88637359427486,369.3617328259419,0,74.10355682599415,0,0,0,0,75.05405504452669,0,0,0,0,0,73.87234656518838,0,0,0,0,0,0,0,0.0060779551247914405,0.0008708099320946345,0.0009357818292202438,0.0008096306993437155,0.0025730296222955754,0.000684117172611002,0.0007719192869774224,0.00029788735018588337,0.0006743346689479378,0.010249244548824478,0.0007430586304532858,0.0009234561669455976,0.0011637651242892655
