Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1044,0,4,4.86690425148976,1.9194689812138677,39.43528200034052,8649.0,3.378290169989326,0.0,4,5,6,6,7,9,11,12,26,39,39
GET,/catalogue,6002,0,8,8.388153177292528,4.397039068862796,52.1373450756073,2795.0,19.421932567314116,0.0,8,9,9,10,11,12,14,16,45,52,52
GET,/category.html,6002,0,5,5.162081988658713,2.0015169866383076,54.46025391574949,11518.0,19.421932567314116,0.0,5,5,6,7,8,10,11,12,23,54,54
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,685,0,5,5.350911158245791,2.0574070513248444,44.772095046937466,10364.0,2.2165984352899315,0.0,5,6,6,7,8,10,12,14,45,45,45
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,644,0,5,5.219248343463004,1.9692069618031383,45.334129012189806,10364.0,2.083926120184987,0.0,5,5,6,7,8,10,12,13,45,45,45
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,673,0,5,5.374787508352296,2.1988960215821862,16.66060707066208,10364.0,2.1777675137958012,0.0,5,6,6,7,9,10,12,14,17,17,17
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,617,0,5,5.198415547286309,2.038836944848299,24.562892969697714,10364.0,1.9965565468231938,0.0,5,5,6,7,8,10,12,13,25,25,25
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,647,0,5,5.360900758732531,2.1884309826418757,51.60373402759433,10364.0,2.0936338505585192,0.0,5,6,7,7,8,9,11,13,52,52,52
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,680,0,5,5.317724212278229,2.068114932626486,49.33842702303082,10364.0,2.200418884667377,0.0,5,5,6,7,8,10,12,14,49,49,49
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,664,0,5,5.1122152052626175,2.1299950312823057,17.395411035977304,10364.0,2.1486443226752034,0.0,5,5,6,7,8,9,11,12,17,17,17
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,668,0,5,5.103075427029695,2.156172995455563,15.02426399383694,10364.0,2.161587963173247,0.0,5,5,6,7,8,10,11,12,15,15,15
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,677,0,5,5.136201101763826,2.288445015437901,16.066741081885993,10364.0,2.1907111542938447,0.0,5,5,6,6,8,10,12,14,16,16,16
GET,/login,1043,0,61,61.40019121661975,53.41961595695466,103.60190598294139,13.0,3.3750542598648154,0.0,61,63,64,64,66,69,72,74,79,100,100
,Aggregated,20046,0,6,9.062471919016652,1.9194689812138677,103.60190598294139,7815.3926469121025,64.86705435594448,0.0,6,7,8,9,11,55,62,64,72,79,100
