Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3096,0,5,5.520055437250273,1.9679769175127149,66.32792192976922,8649.0,10.021574491307803,0.0,5,6,6,7,9,11,14,17,46,66,66
GET,/basket.html,2813,0,4,5.226426463626481,1.9546260591596365,70.65331807825714,23388.0,9.105519717070042,0.0,4,5,6,7,8,10,13,15,46,71,71
POST,/cart,17410,0,24,25.417368696104642,12.58299290202558,108.43625303823501,0.0,56.35517180028064,0.0,24,26,28,29,32,36,41,46,82,110,110
GET,/catalogue,3059,0,8,8.752475465826286,4.150916007347405,83.70085898786783,2795.0,9.901807612697212,0.0,8,9,10,10,12,14,18,21,54,84,84
GET,/category.html,3059,0,5,5.877769923147548,1.777276978828013,75.71162201929837,11518.0,9.901807612697212,0.0,5,6,7,7,9,12,15,18,55,76,76
GET,/login,3096,0,58,58.96743817254299,20.95422602724284,119.24033903051168,13.0,10.021574491307803,0.0,58,60,61,62,64,67,70,77,110,120,120
POST,/orders,2788,2788,71,69.59610674361574,20.334498025476933,147.66926900483668,227.0,9.024596150441264,9.024596150441264,71,74,76,77,80,85,90,96,130,150,150
,Aggregated,35321,2788,22,25.357704286496833,1.777276978828013,147.66926900483668,3879.401460887291,114.33205187580197,9.024596150441264,22,26,29,33,60,70,76,80,98,130,150
