time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue_disk,catalogue-db_disk,front-end_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1720270113.201,0.014579147816463741,0.004857650047754384,0.002140604482908173,0.0008258102257443019,0.002920892316700518,0.004520081794725766,0.00497811880991497,0.0020073030073415508,0.00482185962620211,0.09387094321795225,0.004352735447692239,0.003350190359934218,0.006055150626475395,55140103.039073795,5382672.055729913,980678.941765564,0,5480669.996889353,13665868.98100057,7647601.956996624,633490.9409308279,106173582.1448013,6512963.750340694,19633718.439918734,425690.11410067306,3065566.297439622,34018802.00902358,779.1037598034266,161.49509127469148,0,4047.208651259812,2539.1549106993266,1257.0995288043184,1724.2540580588675,817.564870259481,3659718.506405016,343.84916304293074,23610.870928911718,148.75612856364626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001888480066540271,0.0006039094236827203,0.00036054361410200146,0.00018879101120881825,0.0005747757023563559,0.000596662870870971,0.0008036791653368767,0.0004175761029979286,0.0007949805448938159,0.009858738475177363,0.0006777980132849828,0.0004349360798830466,0.0007951244706097649
1720270118.201,0.015428905943984753,0.005432898723172124,0.00288883556371735,0.0010507628819052478,0.00552176741519872,0.0047215031546031655,0.004836262130242191,0.0019979629270088874,0.005058551696269488,0.09352844127007218,0.0041920874934090495,0.003011731970360207,0.006215471968190856,59949332.29669944,7237283.783092685,780198.0971731105,4400.131095007466,4378125.491337894,7505101.591097211,7398660.758795204,631261.2850854438,107472019.10254762,6517667.169797596,19885869.95050431,439561.2371754808,3358638.568588469,36987287.166102074,1466.323451697039,160.0406353175611,3654.346163650268,22883.09797641578,2787.6758944173635,1144.1080540913447,1576.7820978459172,978.0504380728468,3662035.0979286763,418.00894664330787,24380.231751984255,162.86282306163022,0,69.82492627128757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024419610967933484,0.0005695598310185785,0.00046609030405102633,0.0002006322706986332,0.0008711889824216445,0.0006404465834499774,0.0007274603694314908,0.0004175761029979286,0.0007595917430420543,0.00966139654650791,0.0006424092114332213,0.00047986574582992576,0.0006805631543272357
1720270123.201,0.019458612256989437,0.005150753989107956,0.00278703800605892,0.00122358042380325,0.009552561623656503,0.0043214417050773755,0.0051025454210565065,0.0020345984369437337,0.0050742790747675195,0.09407381438388539,0.0042875477858509555,0.0034170724795838563,0.006221209035457655,67382119.75560081,7533500.070471974,760671.3600388279,4422.192943932074,4391950.097295725,7291485.904169794,7806029.028217784,639394.5784664417,131040516.5821583,4345381.958331819,14483473.658781333,459059.52965569927,3058080.7616427448,44325909.4241807,1453.6841530332713,311.01762651081583,3672.6687161469767,38064.56071435067,2488.0122914210174,1207.102335519045,1597.0976655873326,880.6550445236774,1831084.6089517507,456.6926207421998,25329.477455848384,148.27417690817933,0,72.68420765166357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030508552608539954,0.000656640512999599,0.000534538515780144,0.0002718827597519084,0.0010288864068810377,0.0006046292425908258,0.0007337691716350456,0.00040066317359871277,0.0006850595852480375,0.009880260407945209,0.0006071057564169293,0.00048250626108884353,0.0007284842199505721
1720270128.201,0.02528128929860263,0.00572396395390566,0.003672039217473746,0.0016797912298315584,0.014671021241563989,0.004592685029055132,0.005172425854876271,0.002105854097280679,0.005253374366135082,0.09368584525576512,0.00442893058107793,0.003688631275318287,0.006437707548887513,68945468.67570849,11284292.994138522,731407.2345390898,5459.23056055065,3308430.2592773526,13703528.400120923,11827597.165211855,690187.1683197307,107502691.26185052,4325763.3131810445,6956352.750173948,456518.51851851854,3688876.005972106,47567653.83365543,2123.21065433231,821.4702450408402,4835.318496487719,51358.4106822993,2407.7122031507174,1235.2438554459095,1723.968817479779,978.3199823620196,1822388.589219129,438.4578330449055,25185.185185185186,223.73547940715926,0,81.66194824355038,0,0,0,0,0,0,0,0,0,0,74.57849313571975,0,0,0,0,0,0,0,0.003881087849937257,0.0006627717882760275,0.0005800466493344806,0.00031269394613755633,0.0012370396427804741,0.0005669781646034523,0.0007351628664012368,0.0004035627684747554,0.0006876270821570282,0.0099480772208715,0.000566222991786396,0.0005654759693028024,0.0007302100002411066
1720270133.201,0.024589527825030738,0.00622634370643929,0.004750138108108108,0.002764114013245931,0.018082623243420814,0.004406959308673052,0.0051543529780102414,0.001996670670334832,0.005057706781297248,0.0933414712858241,0.004092622754491029,0.0039801668252167875,0.006614581999238614,63771735.67889611,10251901.156791398,846944.864864865,4856.6153429205415,3340025.842245501,15098301.215743601,13001394.084496668,632622.1566127625,106574038.94282436,2188626.184985908,14188428.29841836,682941.4218286928,4054965.316876716,41868093.463514954,2817.7193649414367,1245.4054054054054,4301.573589443908,66604.66474431506,2425.4177383838196,1357.8400677741354,1511.6419512849761,895.2842389027523,524.7245708429413,447.2999290173452,25477.29684241338,246.2080987397063,0,74.15050960372201,0,0,0,0,0,0,0,0,0,0,82.06936624656876,0,0,0,0,0,0,0,0.0036171863770934625,0.0007087433353278441,0.0005844624264899559,0.00033037047451224647,0.002171013454662072,0.000491996317295992,0.000702380696897237,0.000386539145691262,0.0006522774157440378,0.00995960149124896,0.0005305569774059607,0.0005694421295301676,0.0007396275022538978
1720270138.201,0.03158538448593321,0.0063693485146710405,0.004900729741705595,0.002945977835964007,0.022721212913690038,0.004346727776972233,0.005263128899224242,0.0018310834419338854,0.004910077137140761,0.09464130127734546,0.0032506853964441385,0.004106483541761754,0.006742118390687571,63556970.836880565,7745448.660470203,925632.627439396,5286.91547425874,2267012.684064733,14789939.675174015,12830035.572189016,689721.2606229696,106421723.68133868,2198495.375128469,13589964.382831847,481424.8836147878,4007035.0912916576,54879539.40881824,3284.563513759796,1361.2244521167588,4682.696562914884,81215.33751275697,2301.6241299303942,1339.4618752611595,300.72869440722457,819.4979992724628,4585.523418000294,357.08936934625007,25499.516202647195,208.5115047851761,0,74.64917076726809,0,0,0,0,0,0,0,0,0,0,69.50383492839204,0,0,0,0,0,0,0,0.004255585933338796,0.0007140165224290458,0.0007123735813343132,0.0004582816293566038,0.0023133578177690632,0.0004979317373702035,0.0006661164391679879,0.00032708554420228633,0.0006971136870980992,0.010113018711313145,0.0005770370364372311,0.0005760397887479944,0.0006644624028512946
1720270143.201,0.03287151614127682,0.0063693485146710405,0.006011445229745851,0.0036331101089206947,0.029539104185407616,0.004303799526513459,0.005124942399884656,0.0020480185608952334,0.004904357160849216,0.09432345007238542,0.0034623783567952894,0.004807512304137362,0.006374176018305194,58025432.72359194,7745448.660470203,728916.5250714001,5161.940768746062,1255451.4605349055,15087707.3260954,15270271.2756371,652873.8342314326,105270442.6052537,4384534.22272719,14474977.677079076,444909.51103914727,3586329.289935013,57181859.87997976,3284.563513759796,1406.7459600159068,4572.004680889369,102986.25262200397,1363.641407882812,1328.7676170565549,214.15061258411305,736.9557394746312,1850327.035496344,380.34394383983954,23696.26743578067,72.5639740593451,0,74.64917076726809,0,0,0,0,0,0,0,0,0,0,72.5639740593451,0,0,0,0,0,0,0,0.00430217813713182,0.0008763302520641506,0.0008341723852363285,0.000597404597865605,0.0028630820444069975,0.0005775287944127659,0.0007472734096303839,0.00037000379688360423,0.0007384721320044271,0.010141856639030895,0.0005387985329110533,0.0006702385449351216,0.0008252163245969757
1720270148.201,0.04444308381498054,0.006877567088200622,0.007915537009515585,0.004954515488875629,0.03846904612023042,0.004388281503275268,0.005296226734072624,0.002165947858301386,0.004571722219161482,0.09222342120544655,0.00434364858670742,0.005115754659699351,0.007088342272380883,60400062.99107068,7589591.11206373,598704.8964772839,5586.565510186684,1194176.6437329575,7549806.7429036675,12795658.186562296,690467.7086405191,107446941.76629387,5989326.925644106,14163899.159663865,485349.1324587389,3673201.001560402,59527902.028781556,4097.024256064016,1607.6930625061327,4958.076890290682,104217.70771258825,1364.2722327078939,1410.1616293397115,226.48186375700385,601.7666611573284,3368975.0367107196,6994446.360362327,25774.75206535539,668.8681641688138,0,73.16114742971457,0,0,0,0,74.21903312314271,0,0,0,0,0,74.31868490764597,0,0,0,0,0,0,0,0.004552893092329047,0.0009310214534678354,0.0008930207830751425,0.0006447589446353785,0.0029327834074340067,0.0005455226086971022,0.0007550092515558778,0.0003574920642396285,0.0006687426220551407,0.011774648546037181,0.0007161813519154203,0.0007113603768476079,0.0007573360348395149
1720270153.201,0.04839387901760314,0.007159742353437058,0.00978939185615469,0.0060757695735741855,0.04997036434748891,0.004682368430826433,0.005211929830600598,0.0018772691333779359,0.004562084268846516,0.09165486813609812,0.004188795054200546,0.005286383681345689,0.007199949699508287,58732214.6148057,5200411.970604944,558001.0533771635,5573.642224149955,1323671.527555338,7576725.273909007,12794035.401757406,530145.0612445597,106282234.18710262,8006569.128550149,15516872.947553005,467903.3696819647,3072857.840101985,65222854.751372084,4954.203089779537,1487.804435081092,4946.607473933085,1227619.1985434191,1293.0733519034357,1409.9827882960415,154.89994484866608,520.8356039963669,5064833.458854244,7662533.397098677,13272.796781416688,671.3531232926607,0,75.06368317847783,0,0,0,0,74.20962043663376,0,0,0,0,0,74.5947914769623,0,0,0,0,0,0,0,0.00539428230679468,0.0010997405536766138,0.0011813587379011152,0.0007165074370674613,0.003035744300596529,0.0005910194477039359,0.0007561265391167151,0.0002940469312217789,0.0006746447163822926,0.010021227468582871,0.0007215954199033651,0.0007555706533053276,0.0008864603992104297
1720270158.201,0.04987746343597878,0.007747541976968067,0.009936897877470641,0.006972810614791557,0.0541465833805857,0.004780025070844601,0.005408706257221258,0.0021455381072103654,0.004259645691080282,0.09133110181714267,0.004086951117327914,0.006083781888550569,0.007716306131294822,50954870.28022389,7730721.982053983,582912.921026348,6511.14731947701,1436008.706626914,7364342.291933651,12750012.709416522,685234.9195279955,105132555.73923668,8045205.264838879,14654518.280557103,459426.978245717,2664062.416266057,57490443.07097668,6100.773785737639,1495.657731195221,5778.6432460358465,1331793.7480565566,1330.7582621879683,1404.9682264586943,150.3367528582702,515.2016100050313,5088448.082838845,7236724.922626343,1277.2295388678967,726.2983686657735,0,74.39968031387365,0,0,0,0,73.94569612940496,0,0,0,0,0,80.6998187406415,0,0,0,0,0,0,0,0.006274169593208123,0.0011093396415923686,0.0012687479830743088,0.0009353117101327576,0.003532179904147749,0.000592080990430759,0.0006782731907559145,0.0003231478746632706,0.0006768456405033822,0.01164752899903792,0.0006429551143125078,0.0009259915562594268,0.000852726721865995
