Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1990,0,5,5.264047522158666,1.8783609848469496,62.869717949070036,8649.0,6.4387994465020695,0.0,5,5,6,7,9,10,13,16,47,63,63
GET,/catalogue,10990,0,8,8.581874517298509,3.823854960501194,91.44330502022058,2795.0,35.558997948270225,0.0,8,9,9,10,12,13,16,18,52,88,91
GET,/category.html,10990,0,5,5.616609702423618,1.9043580396100879,88.1429030559957,11518.0,35.558997948270225,0.0,5,6,7,7,9,11,14,16,57,83,88
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,1145,0,5,5.67328733794684,2.1017480175942183,67.65399198047817,10364.0,3.7047363649471707,0.0,5,6,7,7,9,12,13,15,57,68,68
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,1228,0,5,5.7247531675568295,2.147956984117627,90.57671600021422,10364.0,3.973289306685699,0.0,5,6,7,7,9,11,14,18,52,91,91
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,1217,0,5,5.789877897726897,2.176248002797365,62.80093698296696,10364.0,3.9376979529613156,0.0,5,6,7,8,9,11,14,15,54,63,63
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,1195,0,5,5.738134368880025,2.048217924311757,89.68086901586503,10364.0,3.866515245512549,0.0,5,6,7,7,9,11,13,17,57,90,90
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,1237,0,5,5.861856999224324,2.110237954184413,64.2508560558781,10364.0,4.002409505187467,0.0,5,6,7,8,10,12,15,17,29,64,64
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,1191,0,5,5.816295237251496,2.1778090158477426,68.54358105920255,10364.0,3.853572935067319,0.0,5,6,7,8,10,11,14,15,27,69,69
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,1224,0,5,5.938395960149934,2.0752210402861238,65.71214797440916,10364.0,3.9603469962404687,0.0,5,6,7,8,10,12,14,17,62,66,66
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,1200,0,5,5.758414242591243,2.1360269747674465,87.53251796588302,10364.0,3.882693133569087,0.0,5,6,7,7,10,11,13,15,55,88,88
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,1201,0,5,5.816301604078387,2.103516017086804,57.068537920713425,10364.0,3.885928711180395,0.0,5,6,7,8,10,12,14,17,48,57,57
GET,/login,1988,0,60,60.86656762085812,50.99442403297871,121.4002330088988,13.0,6.432328291279454,0.0,60,62,63,64,66,68,71,76,110,120,120
,Aggregated,36796,0,6,9.519817158022617,1.8783609848469496,121.4002330088988,7796.017393194912,119.05631378567344,0.0,6,8,9,9,12,56,62,64,73,100,120
