service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_high,9,1,5,1783,0.9,0.643,0.75,0.6
redis_energy_Anomaly_high,27,0,0,1771,1.0,1.0,1.0,1.0
ts-account-mongo_energy_Anomaly_high,48,0,9,1741,1.0,0.842,0.914,0.842
ts-admin-basic-info-service_energy_Anomaly_high,81,2,4,1711,0.976,0.953,0.964,0.931
ts-admin-order-service_energy_Anomaly_high,2,0,0,1796,1.0,1.0,1.0,1.0
ts-admin-route-service_energy_Anomaly_high,58,4,16,1720,0.935,0.784,0.853,0.744
ts-admin-travel-service_energy_Anomaly_high,77,7,2,1712,0.917,0.975,0.945,0.895
ts-admin-user-service_energy_Anomaly_high,6,0,2,1790,1.0,0.75,0.857,0.75
ts-assurance-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-assurance-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-auth-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-avatar-service_energy_Anomaly_high,13,0,7,1778,1.0,0.65,0.788,0.65
ts-basic-service_energy_Anomaly_high,6,0,2,1790,1.0,0.75,0.857,0.75
ts-cancel-service_energy_Anomaly_high,5,0,0,1793,1.0,1.0,1.0,1.0
ts-config-mongo_energy_Anomaly_high,3,0,10,1785,1.0,0.231,0.375,0.231
ts-config-service_energy_Anomaly_high,7,0,10,1781,1.0,0.412,0.584,0.412
ts-consign-mongo_energy_Anomaly_high,35,0,23,1740,1.0,0.603,0.752,0.603
ts-consign-price-mongo_energy_Anomaly_high,38,0,1,1759,1.0,0.974,0.987,0.974
ts-consign-price-service_energy_Anomaly_high,14,0,10,1774,1.0,0.583,0.737,0.583
ts-consign-service_energy_Anomaly_high,5,0,13,1780,1.0,0.278,0.435,0.278
ts-contacts-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-execute-service_energy_Anomaly_high,6,3,0,1789,0.667,1.0,0.8,0.667
ts-food-map-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-food-map-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-food-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-food-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-inside-payment-mongo_energy_Anomaly_high,60,1,1,1736,0.984,0.984,0.984,0.968
ts-inside-payment-service_energy_Anomaly_high,31,0,0,1767,1.0,1.0,1.0,1.0
ts-news-mongo_energy_Anomaly_high,48,4,0,1746,0.923,1.0,0.96,0.923
ts-news-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-notification-service_energy_Anomaly_high,15,1,0,1782,0.938,1.0,0.968,0.938
ts-order-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-order-other-mongo_energy_Anomaly_high,3,0,0,1795,1.0,1.0,1.0,1.0
ts-order-other-service_energy_Anomaly_high,6,0,5,1787,1.0,0.545,0.706,0.545
ts-order-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-payment-mongo_energy_Anomaly_high,49,0,2,1747,1.0,0.961,0.98,0.961
ts-payment-service_energy_Anomaly_high,18,0,5,1775,1.0,0.783,0.878,0.783
ts-preserve-other-service_energy_Anomaly_high,5,2,0,1791,0.714,1.0,0.833,0.714
ts-preserve-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-price-mongo_energy_Anomaly_high,6,0,0,1792,1.0,1.0,1.0,1.0
ts-price-service_energy_Anomaly_high,3,0,8,1787,1.0,0.273,0.429,0.273
ts-rebook-mongo_energy_Anomaly_high,46,0,8,1744,1.0,0.852,0.92,0.852
ts-rebook-service_energy_Anomaly_high,76,10,4,1708,0.884,0.95,0.916,0.844
ts-route-mongo_energy_Anomaly_high,1,0,0,1797,1.0,1.0,1.0,1.0
