Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3086,0,5,5.378819340669471,1.775413053110242,55.18404406029731,8649.0,9.988224434756715,0.0,5,6,6,7,9,11,14,15,48,55,55
GET,/basket.html,2818,0,5,5.161007289433319,2.052052994258702,49.557886901311576,23388.0,9.120808962133644,0.0,5,5,6,7,8,10,11,13,22,50,50
POST,/cart,17411,0,25,26.147025503141094,14.046397991478443,112.98256600275636,0.0,56.352876096419045,0.0,25,27,29,30,33,36,42,49,85,110,110
GET,/catalogue,3044,0,8,8.68660566721628,4.118700046092272,71.9379719812423,2795.0,9.85228618904713,0.0,8,9,10,10,12,14,17,20,54,72,72
GET,/category.html,3044,0,5,5.788420756222343,1.975121907889843,69.68052405864,11518.0,9.85228618904713,0.0,5,6,7,8,9,11,14,15,31,70,70
GET,/login,3085,0,58,58.94317595605894,49.21783797908574,127.93251196853817,13.0,9.984987809858868,0.0,58,60,61,62,64,67,72,76,110,130,130
POST,/orders,2778,2778,72,69.91081225594922,19.29985301103443,159.22544209752232,227.0,8.991343966219752,8.991343966219752,72,74,75,77,80,84,89,94,140,160,160
,Aggregated,35266,2778,23,25.704716462500272,1.775413053110242,159.22544209752232,3880.158821527817,114.14281364748228,8.991343966219752,23,27,30,34,61,71,76,80,96,140,160
