Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1641,0,4,4.868455507720456,2.0291899563744664,47.696002991870046,8649.0,5.311790331802122,0.0,4,5,6,6,7,8,10,11,16,48,48
GET,/basket.html,1548,0,4,4.631319844560428,2.1786619909107685,67.29637202806771,23388.0,5.010756510438565,0.0,4,5,5,6,7,8,9,9,17,67,67
POST,/cart,9493,0,24,24.416024373189114,13.75956297852099,83.93259299919009,0.0,30.72810823875536,0.0,24,25,27,27,30,32,36,39,59,84,84
GET,/catalogue,1621,0,8,8.347513649758023,4.8209140077233315,49.158884095959365,2795.0,5.247051875594906,0.0,8,9,9,9,11,12,14,15,25,49,49
GET,/category.html,1621,0,5,5.159276409619324,2.0962179405614734,50.51896197255701,11518.0,5.247051875594906,0.0,5,5,6,6,8,9,11,13,46,51,51
GET,/login,1639,0,58,58.718700849753986,49.16027095168829,105.13646400067955,13.0,5.3053164861814,0.0,58,60,60,61,63,65,69,72,100,110,110
POST,/orders,1541,1541,72,69.31974865827954,19.50271998066455,135.8798360452056,227.0,4.988098050766039,4.988098050766039,72,74,76,77,80,84,89,94,130,140,140
,Aggregated,19104,1541,22,24.70142001903472,2.0291899563744664,135.8798360452056,3871.9702680067003,61.838173369133294,4.988098050766039,22,25,28,31,60,71,76,79,96,130,140
