time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1720286093.485,0.014357478234867695,0.00522917506897875,0.00198775835761107,0.0007892293628302402,0.0031185419251905685,0.004438233501263655,0.004967707277173454,0.002078146181438021,0.00456248334075517,0.09279273252892745,0.00463184030425258,0.0034895288774289216,0.005833297926264429,55955977.09314969,15511690.536663804,485225.3459577566,0,13957.493746183696,6668074.380303615,11908138.22413357,167814.99306043726,103153227.03517373,11115224.90968771,7261409.801646501,669723.6462915211,2587438.180955434,15780066.40086988,598.7538143877794,372.90604515659135,0,3307.8453386909337,2536.5625052303885,828.9400455350367,516.8081616467492,1000.2882663522255,7517057.194726129,7178655.468994604,21261.068136238766,155.89324783584482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024876115056754384,0.0007138867772598893,0.000392460388284236,0.00015956400389535876,0.0006387093565888183,0.0006350742442552841,0.0006713922436561875,0.00037802523395059266,0.0008631129674944241,0.006105117712259103,0.0007169698997347711,0.0004738372657823564,0.0007932966539377352
1720286098.485,0.03215960232596294,0.006156153257328992,0.0029479941349466426,0.0011395181439511064,0.010317422561204766,0.004511669228527732,0.004968221520176232,0.0021211346178595723,0.0048327047596171575,0.09003756996851242,0.004665346166909789,0.0034690115146323473,0.006506692737336182,64177261.99894275,12806485.703944989,300393.9836988488,2160.612619822835,47396.663993737944,7255652.072557732,14464316.945303027,171096.54170726775,109262665.53342448,13837888.321237007,7877502.227727718,777878.5186365718,2858400.363385542,23681896.935780823,1630.691277596815,413.00731031005796,0,33731.464966711836,2760.10781671159,839.358595604433,527.1460351896453,1059.5321680647426,9747394.815622276,7787727.557890952,11342.191764448073,137.8173314715432,0,74.12233079985523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006571106758963553,0.000983733793757614,0.00046602863701487136,0.0001588887452023616,0.0010570215814287248,0.0005644008033170852,0.0006007188027179885,0.00031655301036065186,0.0008377895835114828,0.008054912627123587,0.0006843960453919674,0.0005219406475339771,0.0007734799037669692
1720286103.485,0.1282597994332388,0.012388526474022154,0.0031377260951051004,0.001739316357884402,0.01620517110441048,0.006390033617481108,0.004923075656597119,0.0020322437246826325,0.004829631750919503,0.09397925355662688,0.004552838834593424,0.00422403611774189,0.006740308220106394,72850285.7142857,12982696.862450259,328438.63001616934,8340.793803749022,60915.62324321562,15927468.203465803,9897480.849429358,159533.02486398537,75875956.27405696,12301719.157574221,6609574.707055807,681134.1705493925,2875374.5129265073,35636633.83897316,10891.020116259879,451.5654858150816,7223.723205032636,54356.552699272586,7868329.611397928,645.8295159386068,2082.6765648039864,980.9939269523564,8665172.358961347,6534250.549008433,10072.356376241672,277.57259512757093,0,75.11048356041296,0,0,0,0,0,0,0,0,0,0,69.39314878189273,0,0,0,0,0,0,0.018973494679095374,0.0015227612825287219,0.00044516476159925296,0.00026759427779667126,0.002211431669334093,0.0016223627617542003,0.0006245324482507071,0.0003278286682464167,0.0007808328812432927,0.008211484552697391,0.0006969340182815181,0.0006955169780244924,0.0009713590857721392
1720286108.485,0.15145766178132988,0.012391604881447933,0.00449337812896071,0.0034130002206409623,0.016496559609647077,0.009539352930423024,0.005126532680068694,0.0021173043374203763,0.004524088984038024,0.09391939988146172,0.004401011562918133,0.005184978510540555,0.006902267315876528,69153376.51468575,12982696.862450259,359584.28390367556,9188.078033353559,62279.39161700742,14555917.955467809,11887047.984644912,173211.67936963803,84447239.75147666,11226807.430868108,14447573.986183139,666951.1510387423,2525697.9315727856,42397738.80967018,10891.020116259879,973.3840304182511,8133.708422968724,55565.78747480708,14370668.7141238,620.6687544196383,2186.825729960602,857.9040553707623,7592442.888629586,7142761.686610105,10035.62860497167,304.4843799364419,0,75.11048356041296,0,0,0,0,0,0,0,0,0,0,76.12109498411047,0,0,0,0,0,0,0.033682484422770886,0.0017926395392291379,0.000562365640843246,0.0002928151075359073,0.0023950902665571387,0.0017034459978571604,0.0005479906139330697,0.00037831747742822405,0.000842597348310865,0.006598183019310218,0.0007056178947979627,0.0009094548654852185,0.001073043421578611
1720286113.485,0.24145847266982004,0.017283435284538136,0.005922127324749642,0.0034130002206409623,0.030397322809962424,0.014153312813263066,0.00518108429801128,0.0021364157859434765,0.004386555960693271,0.08959133559112449,0.004354143602690785,0.005213064373264335,0.007852829170323365,76650693.88235757,10252043.789016556,539182.9597838182,9188.078033353559,129159.71297906603,21905820.405015886,11177496.467794599,338369.4142813118,84612111.52507703,9293711.643948596,13359315.99369673,690736.1121216639,2290157.0242354693,50076737.25736492,13044.349950239754,1139.4054999205214,8133.708422968724,123632.08210413312,21632312.556226708,729.4746215494213,2153.3274114895858,859.5710580241445,7854223.175682492,6604736.669095345,10429.485178307603,276.51387294943635,0,74.11562471727133,0,0,0,0,0,0,0,0,0,0,69.12846823735909,0,0,0,0,0,0,0.05338758150735719,0.0020480501035726045,0.0006560431719193138,0.00043076475384437086,0.0033675894538106165,0.0025344371249298512,0.0005327721539274228,0.0004202980330885869,0.0007840638502180233,0.007107550756452961,0.0006932841031605131,0.0010255732417436862,0.0013272113423240083
1720286118.485,0.3274337908809738,0.025305558909710403,0.00717423995002173,0.005658915770307288,0.042544795851768645,0.021258842384274865,0.005321582496832668,0.002371744512523567,0.004480920353012114,0.09552753891625618,0.0038989064645796293,0.00718685320254104,0.008181524244470035,77358617.89883268,9669211.584327089,493976.5319426336,13669.907448145606,177053.58257739907,28943236.04102527,11009741.428710653,319017.50605979,81037543.97120357,11061143.003101625,15206357.381651323,718039.853039654,2694176.0851435605,59053833.7823007,12978.807495741059,1260.901057511227,10415.16757953951,172239.89129237208,28572459.730748914,718.5264594094143,4688.392135739296,823.2564088508834,9348086.845466157,7517858.896283807,10823.231317756503,325.32464953734956,0,69.77853492333902,0,0,0,0,79.8362732677127,0,0,0,0,0,81.33116238433739,0,0,0,0,0,0,0.06242447686867574,0.0020239836276555578,0.0010529218405695136,0.0008153897581911968,0.00358480104360672,0.004445407785383341,0.0005544852103396457,0.00044997923098544294,0.0007558282021023221,0.009450623311374078,0.0006650484550448118,0.0013615820617730087,0.0013678075488750413
1720286123.485,0.33820458180106894,0.025632633501001662,0.008869604908286813,0.0071631009359422165,0.05448465411463144,0.030295399308730448,0.005327073214074163,0.0027680741793792265,0.004661153862909036,0.09510160803120082,0.003948206185003737,0.009387354987601135,0.00946552692300081,78932986.25163871,7505413.512058964,499341.985064888,3628881.8203397873,186713.9611579333,29055068.358874947,13938498.914030723,517496.3457087138,74311211.4337416,12171856.851126509,21537588.13994573,491250.1312288449,2687328.7554667243,63337096.91082053,13413.212460418414,1559.0516928876968,11459.188171860693,172905.53316233054,28699190.812333122,727.8758440943017,5449.687425957315,960.8096107769381,8574367.379732851,7099051.997013133,11195.105616594565,324.2237745631567,0,72.1140454861205,0,0,0,0,80.87509378825574,0,0,0,0,0,81.05594364078918,0,0,0,0,0,0,0.06440095668087949,0.0035769530388359864,0.0011158508746235123,0.0011558850688178548,0.004013323434755045,0.009608714103313709,0.0005281053471489206,0.0005304118863303687,0.000728862340836367,0.0099516767680393,0.0006266889462402541,0.0013329811420911054,0.0013064865048922874
1720286128.485,0.36734343252279084,0.0427222695288616,0.012854335492302908,0.007745128417977774,0.07445116270196693,0.06301683102985312,0.0053434214483720766,0.002565178460921814,0.004292660016427885,0.0934731940138539,0.004096653371432443,0.012498477275916683,0.010192470654783882,85796222.66474232,10220126.58411181,526974.6837746839,3956889.422988038,291866.8950653277,39038402.77997156,12790268.910912616,496527.2503554558,80950522.36926167,12025572.435146777,19994732.314351417,548038.4114191777,2600216.4937797072,68846129.52847251,612738.9383735245,12822.131222131224,12494.962007062433,267433.35418637295,38553252.25082925,667.9107857880529,5181.153916752582,672.8849137537647,8134035.051505469,6590485.05342892,11085.583689180248,156.8426874433578,0,74.15453689622709,0,0,0,0,74.21230953200588,0,0,0,0,0,78.4213437216789,0,0,0,0,0,0,0.07309158747708151,0.00431242043850565,0.0012195189605073522,0.0013388501805717276,0.004275369316816092,0.011063361856957802,0.0006766323769654564,0.0006110732038578863,0.0007083504178909385,0.009872201499012242,0.0006465946779048104,0.001810482213677285,0.0015753614865938487
1720286133.485,0.3980401629148411,0.05165882907499396,0.014724577169999404,0.009662423485740155,0.08726900477135094,0.0878653251539347,0.005285284174236619,0.0029419351355011248,0.004223346283385567,0.0955298502847694,0.0040893455621503925,0.015575696815564626,0.011927383957438796,71427553.94403318,12763253.588516744,674973.9893056564,3875939.6650067903,437888.7908208297,43227314.97688696,12875405.640071506,478468.7103272001,74683954.06015289,11141676.869373506,20169334.970664483,905821.6917627704,2325506.6801238516,70053007.00005035,613627.954182978,12289.241074453495,12757.12086917157,423126.8020005884,42676950.75916757,672.4307759658532,5061.326743064137,689.7713111717354,7537828.991365056,6648036.021285304,11138.842725487233,140.13719486118,0,148.4703494272872,0,0,0,0,74.71453066287258,0,0,0,0,0,70.06859743059,0,0,0,0,0,0,0.0744017296127292,0.004401410695918392,0.0012389112370401719,0.0013156193686108591,0.004681562512343424,0.01324856707906328,0.000740152262555357,0.000623419649375745,0.0007711388322178128,0.010272345240620706,0.000619748393236973,0.0018332206769665418,0.001596467156753968
1720286138.485,0.45616373329417875,0.05416712441063755,0.015518889178497483,0.012461211864694881,0.11013636336739292,0.0878653251539347,0.005390663459740613,0.0032828658796785577,0.0038645161196195757,0.0894347332300772,0.0036085975200000234,0.017038991996311665,0.01222909886458361,59656066.70777178,10809930.236462075,711136.3501922507,7270800.3399626035,480858.7094665747,43227314.97688696,9600754.976118032,381103.0329617739,51994415.66066217,11722190.069258036,21678018.559999995,994974.8639926234,2568492.785016979,66076624.26520323,650071.7122055116,12947.648624667258,13924.868264490906,456986.8186934893,42676950.75916757,765.8547364484709,5880.715467905641,576.2678565732726,7929982.316871642,7146106.879999999,12161.475334255418,154.92914226359315,0,157.34520445492234,0,0,0,0,69.6231578589519,0,0,0,0,0,77.46457113179657,0,0,0,0,0,0,0.07641486864003726,0.004468748927934867,0.0012893698705417121,0.0014063501018112994,0.006024900555979589,0.0158185165815705,0.0007223340855332623,0.0006559485042101153,0.0007451608649357128,0.012353776747507693,0.0006380536970745618,0.002480140613088725,0.0018006537731711937
