Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3120,0,5,5.646527442672195,1.9855020800605416,100.41062394157052,8649.0,10.098255023523881,0.0,5,6,7,7,9,12,15,18,46,100,100
GET,/basket.html,2838,0,5,5.428523381762115,2.064069965854287,71.77158200647682,23388.0,9.185528127166915,0.0,5,6,6,7,9,10,14,16,56,72,72
POST,/cart,17327,0,24,25.751762395134644,13.780137989670038,107.69185295794159,0.0,56.08091820275587,0.0,24,26,28,29,33,37,45,51,86,110,110
GET,/catalogue,3081,0,8,9.090408434803003,4.3361400021240115,93.01875403616577,2795.0,9.972026835729833,0.0,8,9,10,11,13,15,20,24,50,93,93
GET,/category.html,3081,0,5,6.099408215180243,2.0310140680521727,75.96622500568628,11518.0,9.972026835729833,0.0,5,6,7,8,10,13,17,21,47,76,76
GET,/login,3119,0,58,59.21658774838299,23.12766294926405,134.29641106631607,13.0,10.095018403324035,0.0,58,60,61,62,65,68,73,77,110,130,130
POST,/orders,2812,2812,72,70.18338476519986,19.985217018984258,152.10289205424488,227.0,9.101376001970884,9.101376001970884,72,74,76,77,81,86,93,98,130,150,150
,Aggregated,35378,2812,22,25.667820177642124,1.9855020800605416,152.10289205424488,3904.60873989485,114.50514943020124,9.101376001970884,22,26,30,34,61,71,76,81,100,130,150
