time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1720305908.605,0.027999467599113714,0.006042003344724789,0.002365726954669911,0.0010263446617855972,0.005411798894451604,0.007214467556619396,0.004883300181286582,0.002002726586940166,0.004808308890286803,0.08568593614586083,0.004497538811048813,0.0029885519636634584,0.005812259184421629,22560608.848528374,7713095.906347708,637114.0181861203,0,2132869.138760103,23157747.744430125,10796125.752402611,350511.0679919218,75921164.01720591,6933712.930371214,16841151.64131305,672128.5032948592,3935343.3863537745,14835028.901467096,1265.7601977750312,138.45789811716188,0,37637.15423370105,7636238.188178973,391.46466678762715,567.6949273353662,905.3164901304045,3896328.946710283,245.95676541232984,390.137278439087,156.1458313039628,0,74.45648222206066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004221950100715768,0.0006131825310113117,0.0003231300169331953,0.00023663047755280648,0.0008456718125050556,0.001272497738046638,0.0006795668066596171,0.00034785494002937707,0.0005998862101642428,0.009352242630502007,0.0007210289942140266,0.0005603550789345925,0.0008099697915939597
1720305913.605,0.02792347802222488,0.00736392877191795,0.0020846328791666664,0.0015844009447477587,0.010131489022397711,0.007632808161350804,0.005095841334788144,0.00170650187955204,0.004933074747337744,0.09019100955018791,0.004435255856777497,0.0036970926223346095,0.006479535768465763,22499380.144279417,7491237.313541571,352938.6666666667,4291.843600066177,2055528.8991762544,24580002.50156348,10269124.131660301,518295.246299632,75721545.95401208,8629733.709825363,21516535.92497869,605358.1191908147,4060167.0768297208,14794767.151297536,2386.665682051282,150.18666666666667,3689.4795860218014,52074.88596909252,8105465.916197624,148.97254046190216,561.3595426423369,902.9369870446992,5455980.14424201,279.3520886615516,489.88518316019685,483.2956882311297,0,72.3232024864025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008143887295897894,0.0008622862247696318,0.0003335429215282839,0.00029697253203565826,0.0011484662130722724,0.0012008060428476731,0.0006511179872505107,0.000367031352647709,0.0006177664892327051,0.007732803151765953,0.0006861884432171597,0.0006160214525247704,0.000744669838506209
1720305918.605,0.08242901563415346,0.010276333877884415,0.0031752282262199442,0.0015076357977663359,0.0183345360235393,0.019717052351993017,0.005095841334788144,0.0020015055276581383,0.004651988495000035,0.08782532732389252,0.004235182373091959,0.0034773273662186267,0.0069576070029792785,30995046.280023433,7223413.518480701,520718.9720662268,4075.798045752847,2064218.713745271,30645570.92614302,10269124.131660301,351691.95958954404,81866601.81333333,10884145.824255629,21989920.068862643,414124.0244004607,3456158.537810062,22886954.89162273,5157.987883738342,446.6495829016956,3503.756214769991,80301.57208911308,22713172.332942553,148.97254046190216,569.08084075978,976.2133333333334,7340525.780682644,214.1242691496601,500.32243196465737,479.8982358651624,0,69.70253896943706,0,0,0,0,0,0,0,0,0,0,68.55689083788035,0,0,0,0,0,0,0.015575744245822042,0.0010450905849125334,0.00041254618709652866,0.00034740527533961023,0.0020305056227937013,0.003518053535929785,0.0006263722401423983,0.00037173667495061586,0.0006015575012094312,0.007620459626912794,0.0006276955666682818,0.0007172161706407269,0.0007647682676218471
1720305923.605,0.17451889731877537,0.015496693793027282,0.00422025962328048,0.0033022809211581236,0.027889982347160624,0.019108073765000056,0.0051621872561109505,0.0019206754472744338,0.00493870318458386,0.08849333186490456,0.004545570353203239,0.004689739868233272,0.007083919587628866,42652483.80907099,5217374.811324228,527204.9507488373,5064.421695728858,1152450.9730507866,30671646.719999995,9539320.16825177,297246.5668438437,75681762.07989424,10866529.613313753,22676277.81969746,461161.34581924113,3170554.3446244476,34954095.939956866,8369.03140301145,674.9423267054816,4543.084168227358,120918.9882942714,22732479.14666666,138.38539115157863,549.4391254045171,902.4625866481365,5499426.333822809,367.93503647012324,560.5364509002758,527.8350515463918,0,75.39667930640945,0,0,0,0,0,0,0,0,0,0,75.40500736377025,0,0,0,0,0,0,0.016428643725021987,0.0012048535688984005,0.000491020592037418,0.00039354485151013574,0.0022404419788070507,0.004762756806800034,0.0006981160070255682,0.0003824156752413024,0.0006126685860483617,0.007766662906702296,0.0005589609872585694,0.0009388491178074055,0.0008741145090283999
1720305928.605,0.1799286493247516,0.018826679918122917,0.005392989122043749,0.004220225406274133,0.036254712332746616,0.021856363545599784,0.005186296086956521,0.0022418303671310883,0.004895228602310327,0.0868641037287264,0.004108498451766544,0.005381301372286884,0.007490866793529971,44060644.925311565,4795562.126774144,694269.0400834234,5153.917323563155,1180384.9006305642,37934991.57711299,11157552.56916996,449325.6042577714,75410201.71586841,8806148.084231397,33401668.59865026,464568.73230575654,3147171.777794042,36111734.695586994,8453.50430531355,674.411371910503,4623.367010843418,171626.1726960474,22511493.465001453,161.89723320158103,485.9825756805315,691.7516719583869,5570045.640639629,406.510520047638,644.2277445737653,524.6285588816512,0,69.29101889601272,0,0,0,0,0,0,0,0,0,0,74.94693698309302,0,0,0,0,0,0,0.03810725117455743,0.0018258225343584,0.0005151571959677714,0.0005843673580045825,0.0036176053894246473,0.005752251050244551,0.0007698730702638977,0.00037529099461102973,0.0005363974576581245,0.007880868571465237,0.0005415069453442335,0.0012907878729211553,0.001135262802436334
1720305933.605,0.3548780236748989,0.01907923500249593,0.007499735387511609,0.005148442730382361,0.03694295408229251,0.03544326036246543,0.004927320989812624,0.002238318004867297,0.03739404299939653,0.0868641037287264,0.004050897167755956,0.008345465208567389,0.008533685521554939,53148786.342246376,4955046.732534951,796650.037997129,4716.496765672096,182003.7118347254,49148139.56684796,8113056.681946454,488854.75571294193,74843049.68819152,8806148.084231397,35249831.40606669,644244.5547783858,2502627.029582356,44786972.60423886,8734.892443961795,1245.0899265388837,4230.975039794087,175143.73683035414,32369329.851361696,156.9317320195453,453.2728379350412,24819211.158050027,5570045.640639629,411.8652589240824,1113.3258435110354,521.318569428535,0,71.59747904886717,0,0,0,0,78.46586600977265,0,0,0,0,0,74.47408134693359,0,0,0,0,0,0,0.052517024801978375,0.003347268140247423,0.0006107367444843128,0.0009393720342923839,0.006965293337534947,0.007620760090690011,0.0006992658753745792,0.000322359777710141,0.000600186058890954,0.0062203145331302615,0.0005705076719426643,0.0013932193427928263,0.0011409658328462061
1720305938.605,0.371747417063955,0.03049949678862062,0.008062771278253378,0.005263812735631812,0.06286472498265916,0.04603286986789016,0.005169616153902102,0.002237063739523392,0.043486997816287704,0.0850733519650507,0.003322910938929371,0.008314967576666665,0.009866179096101813,47561687.603662126,7147339.5655390415,693416.4359956738,4883.823939107791,206916.98387724377,57672885.37299264,7703125.463670086,509185.5163095675,89437388.84102975,8126874.036947356,36658031.419330336,651659.9466666667,3445417.7773323986,46950107.02078629,8401.910014123345,1276.456893549156,4381.077357140814,195829.6706085368,40672670.833003715,148.95628773001675,393.4973078126487,29660406.691375338,6851681.324821782,356.9553696072144,976.2133333333334,410.46197013728835,0,68.86811486986348,0,0,0,0,74.47814386500838,0,0,0,0,0,82.09239402745767,0,0,0,0,0,0,0.06427596458909832,0.003834438125689891,0.0007290197241521387,0.0010218283679247035,0.008324270799526292,0.008239367453700477,0.0007442520447088523,0.00037027724274138024,0.0121495996222277,0.008340525679180396,0.0005922761234786718,0.0016599296086769752,0.0011290152162629352
1720305943.605,0.4281910004767676,0.03816057433104589,0.011433643808221521,0.007988631108395268,0.0673758718275,0.06054654624118166,0.005290863778106023,0.002535043111103057,0.04025576416566842,0.073682765805,0.0035117443496840883,0.011577661346978754,0.01064596018569915,57369386.91670475,9524620.951289013,497919.01546876336,11354.009320263538,223703.03999999995,60932665.49088772,7725684.774878276,480240.6538245474,135021921.37645647,8791326.72,38741223.304905236,804964.2314317562,3470276.765739853,56634142.75214049,563822.4215549075,7911.255448252286,10037.602442551823,211688.10666666663,45019804.82069371,149.38818680817695,371.1287896634833,26870363.642963443,5564416,377.24032492770175,1660.1479379876382,344.48537451010077,0,69.06203105768097,0,0,0,0,74.69409340408848,0,0,0,0,0,68.89707490202015,0,0,0,0,0,0,0.07406963005010586,0.00417475733471343,0.001341723054495313,0.0010404233015754772,0.012592350420910206,0.007925023071890549,0.0007341750136767403,0.00043629379044132766,0.012343112119541883,0.0067398800965033385,0.0005644000706548828,0.00211750511801227,0.0014196684554979122
1720305948.605,0.4331279186275584,0.047479941184542504,0.01256804483693116,0.01007717715837959,0.08963809318055053,0.06054654624118166,0.005176870019043514,0.002598010281226871,0.041996847946409205,0.083640633060436,0.003786136298732985,0.012964842661076616,0.012351901104072395,52678077.56010361,4994817.8292903835,551586.7375145088,9675.20963741585,424519.9941835103,60932665.49088772,7609043.7282167375,476728.60087513115,114264874.54178862,8823034.936988316,30413172.01366422,710801.7244788989,2489181.828054298,52006468.64397505,594557.3649731704,8763.962505503303,8569.471393139753,405534.97164461255,45019804.82069371,147.17401458804932,222.18204173145773,28426308.433170732,5584817.440897801,370.1628499647551,1944.0730925918604,370.67873303167414,0,144.8550042570765,0,0,0,0,73.58700729402466,0,0,0,0,0,74.13574660633483,0,0,0,0,0,0,0.0836141905000673,0.00420017046854855,0.00192791703289208,0.0010830438412731797,0.013152572465448598,0.009643136993477807,0.0008101058340808955,0.0004489153489598064,0.012292369389808608,0.007333294711283533,0.0005891820723822518,0.002228583167001566,0.0017109717040451413
1720305953.605,0.5064407933843349,0.04735840390262015,0.01636602909923499,0.012361778525862217,0.11844695938799098,0.10432396253303795,0.004921077432756673,0.0026559420749355067,0.04030570067207247,0.08471417544782193,0.003433661704266146,0.01672807717197551,0.01357629262063469,57246422.07071507,4975042.384877053,573692.9339810025,11789.33194189628,533091.9698821304,65157679.64893689,8071129.1917316895,506066.2466789641,108684632.62473518,6104396.254579998,32518337.410716835,701475.3158180268,2491520.649181278,56516292.37355319,592203.3980171357,10069.027906153513,8548.989244416016,511455.04001261486,57130433.553649396,78.05809719370293,235.85501631767784,27038118.19709255,5149320.667661827,316.65351991447227,4682.321940633961,370.96073032893787,0,144.28149543601796,0,0,0,0,78.05809719370293,0,0,0,0,0,74.19214606578757,0,0,0,0,0,0,0.08777081534853892,0.004365071106851973,0.002107653351517079,0.0011082751106779492,0.014954837372889279,0.016716089346108912,0.0007868887746282135,0.00045386504174403007,0.01230137550080126,0.007326380531253569,0.0006047482923175775,0.002546777596075893,0.001866863972252894
