Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1720305899,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1720305900,1,,Aggregated,0.000000,0.000000,69,69,69,69,69,69,69,69,69,69,69,2,0,13,40.91687046457082,12.902833987027407,68.93090694211423,4331.0
1720305901,2,,Aggregated,0.000000,0.000000,27,27,69,69,70,70,70,70,70,70,70,6,0,13,32.665326357043035,6.127131055109203,69.94575599674135,5272.833333333333
1720305902,3,,Aggregated,1.000000,0.000000,27,68,69,69,70,70,70,70,70,70,70,8,0,13,33.72394113102928,6.127131055109203,69.94575599674135,5037.375
1720305903,4,,Aggregated,1.500000,0.000000,13,27,68,69,70,71,71,71,71,71,71,15,0,13,28.415353200398386,6.127131055109203,71.19669299572706,5172.466666666666
1720305904,5,,Aggregated,2.333333,0.000000,13,39,68,68,70,71,71,71,71,71,71,19,0,13,30.575851107163256,6.127131055109203,71.19669299572706,4539.421052631579
1720305905,6,,Aggregated,2.250000,0.000000,13,39,47,68,69,70,71,71,71,71,71,25,0,13,29.677962395362556,5.442430963739753,71.19669299572706,4368.96
1720305906,7,,Aggregated,3.200000,0.000000,13,38,41,63,69,71,72,72,72,72,72,33,0,13,28.14317650909564,5.442430963739753,72.20746297389269,4439.757575757576
1720305907,8,,Aggregated,3.333333,0.000000,13,38,47,63,69,71,72,72,72,72,72,36,0,13,28.992390053139793,5.442430963739753,72.20746297389269,4310.388888888889
1720305908,9,,Aggregated,3.714286,0.000000,13,36,41,63,68,70,72,72,72,72,72,45,0,13,27.709671133197844,5.442430963739753,72.20746297389269,4276.933333333333
1720305909,10,,Aggregated,4.250000,0.000000,27,36,39,47,68,70,71,72,72,72,72,53,0,27,28.303185172537166,5.442430963739753,72.20746297389269,4236.075471698113
1720305910,11,,Aggregated,4.111111,0.000000,28,38,39,42,68,70,71,72,72,72,72,61,0,28,28.631290804487882,5.442430963739753,72.20746297389269,4057.1639344262294
1720305911,12,,Aggregated,4.500000,0.000000,31,38,41,46,68,70,71,72,72,72,72,66,0,29,29.344723515819307,5.442430963739753,72.20746297389269,3881.0454545454545
1720305913,13,,Aggregated,5.200000,0.000000,28,38,41,47,68,71,72,110,110,110,110,79,1,28,29.537466748122455,4.891803953796625,113.19836298935115,4008.0886075949365
1720305914,14,,Aggregated,5.800000,0.000000,32,38,41,46,68,70,72,110,110,110,110,89,1,32,30.23305212362052,3.8241309812292457,113.19836298935115,3917.85393258427
1720305915,15,,Aggregated,5.900000,0.000000,33,38,41,46,68,71,72,110,110,110,110,94,1,32,30.581473915322505,3.8241309812292457,113.19836298935115,3801.6063829787236
1720305916,16,,Aggregated,7.000000,0.100000,29,37,39,42,67,70,72,72,110,110,110,111,1,29,28.820980406315947,3.8241309812292457,113.19836298935115,4234.603603603604
1720305917,17,,Aggregated,7.300000,0.100000,31,38,41,46,68,71,90,91,110,110,110,125,3,31,30.510911566205323,3.8241309812292457,113.19836298935115,3971.848
1720305918,18,,Aggregated,7.400000,0.100000,31,38,41,46,68,71,90,91,110,110,110,137,4,31,30.417119369529406,3.8241309812292457,113.19836298935115,3961.007299270073
1720305919,19,,Aggregated,8.500000,0.100000,31,37,40,46,67,71,90,91,110,110,110,150,4,31,30.118680437250685,3.8241309812292457,113.19836298935115,3926.806666666667
1720305920,20,,Aggregated,9.100000,0.300000,31,36,39,46,67,71,85,91,110,110,110,165,5,31,30.01979475939703,3.8241309812292457,113.19836298935115,3991.430303030303
1720305921,21,,Aggregated,10.000000,0.400000,31,36,39,44,67,71,85,91,110,110,110,177,5,31,29.656650532052804,3.8241309812292457,113.19836298935115,3931.491525423729
1720305922,22,,Aggregated,10.500000,0.400000,31,36,39,45,67,71,90,92,110,110,110,198,6,31,29.955315889292066,3.7556879688054323,113.19836298935115,3911.686868686869
1720305923,23,,Aggregated,11.200000,0.500000,31,36,39,45,67,71,87,91,110,110,110,215,7,31,30.005086732075313,3.7556879688054323,113.19836298935115,3883.739534883721
1720305924,24,,Aggregated,11.600000,0.500000,31,36,39,43,67,70,87,91,110,110,110,230,7,31,29.84338905763529,3.7556879688054323,113.19836298935115,3832.0304347826086
1720305925,25,,Aggregated,13.200000,0.600000,31,35,39,42,66,70,87,91,110,110,110,246,8,31,29.94685048072758,3.7556879688054323,113.19836298935115,3807.3943089430895
1720305926,26,,Aggregated,13.600000,0.600000,30,35,38,41,66,70,85,91,110,110,110,271,9,30,29.45042388192361,3.7556879688054323,113.19836298935115,3938.276752767528
1720305927,27,,Aggregated,14.100000,0.600000,30,35,38,42,66,71,85,91,110,110,110,293,11,30,29.654991344561477,3.7556879688054323,113.19836298935115,3830.508532423208
1720305928,28,,Aggregated,15.200000,0.700000,30,35,38,42,66,71,85,90,110,110,110,309,12,30,29.653765405091217,3.7556879688054323,113.19836298935115,3810.9741100323627
1720305929,29,,Aggregated,16.000000,0.800000,30,35,38,41,65,71,85,90,110,110,110,331,14,30,29.570329731423126,2.6356660528108478,113.19836298935115,3822.1148036253776
1720305930,30,,Aggregated,16.800000,0.800000,29,34,38,41,65,71,85,90,110,110,110,356,15,29,29.1268736940908,2.6356660528108478,113.19836298935115,3855.016853932584
1720305931,31,,Aggregated,17.200000,0.800000,28,33,37,40,65,70,85,90,110,110,110,378,15,28,28.503134182380837,2.6356660528108478,113.19836298935115,3990.645502645503
1720305932,32,,Aggregated,18.100000,1.000000,28,33,36,40,65,70,85,90,110,110,110,394,16,28,28.41348906531032,2.6356660528108478,113.19836298935115,4005.1497461928934
1720305933,33,,Aggregated,19.100000,1.000000,28,33,37,41,65,72,85,87,110,110,110,435,22,28,29.03886390716137,2.6356660528108478,113.19836298935115,3943.5103448275863
1720305934,34,,Aggregated,20.100000,1.000000,28,33,37,41,65,72,84,87,110,110,110,467,24,28,28.72262631664631,2.5601539527997375,113.19836298935115,3952.665952890792
1720305935,35,,Aggregated,19.600000,1.000000,28,32,36,40,65,71,84,87,110,110,110,486,24,28,28.344857194815443,2.5601539527997375,113.19836298935115,4030.0102880658437
1720305936,36,,Aggregated,22.000000,1.500000,28,32,36,40,65,71,84,87,110,110,110,508,25,28,28.244527082250446,2.5601539527997375,113.19836298935115,4020.5964566929133
1720305937,37,,Aggregated,23.700000,1.700000,28,32,36,40,64,72,85,87,110,110,110,537,27,28,28.437641516910585,2.5601539527997375,113.19836298935115,3922.9124767225326
1720305938,38,,Aggregated,23.700000,1.600000,28,32,36,40,64,72,85,87,110,110,110,565,29,28,28.44222522571485,2.5601539527997375,113.19836298935115,3908.7309734513274
1720305939,39,,Aggregated,23.700000,1.600000,27,32,36,39,64,72,85,87,110,110,110,589,30,27,28.330499610700763,2.5601539527997375,113.19836298935115,3876.483870967742
1720305940,40,,Aggregated,24.400000,1.600000,27,32,35,39,64,72,85,86,110,110,110,613,31,27,28.28306297230007,2.5601539527997375,113.19836298935115,3814.8466557911906
1720305941,41,,Aggregated,25.400000,1.600000,27,32,35,39,64,71,85,87,110,110,110,647,32,27,28.15503586541395,2.5601539527997375,113.19836298935115,3816.3137557959813
1720305942,42,,Aggregated,25.800000,1.600000,27,32,35,38,63,71,85,87,110,110,110,677,33,27,28.130323955571853,2.5601539527997375,113.19836298935115,3784.502215657312
1720305943,43,,Aggregated,25.700000,1.600000,27,31,35,38,63,71,85,87,110,110,110,712,35,27,27.981693174930687,2.5601539527997375,113.19836298935115,3847.4044943820227
