Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1651,0,4,4.79668103593392,2.0925309509038925,45.40344001725316,8649.0,5.344233146951805,0.0,4,5,5,6,7,8,10,11,45,45,45
GET,/basket.html,1564,0,4,4.662091071974091,2.0727190421894193,15.777946915477514,23388.0,5.062616984756284,0.0,4,5,5,6,7,8,9,10,15,16,16
POST,/cart,9430,0,24,24.495959181394348,14.021039009094238,80.93061798717827,0.0,30.524602408089358,0.0,24,25,27,27,30,33,36,40,57,81,81
GET,/catalogue,1641,0,8,8.427513789344127,4.407670930959284,45.96678493544459,2795.0,5.311863473136229,0.0,8,9,9,10,11,12,14,16,26,46,46
GET,/category.html,1641,0,5,5.179033571420638,2.0901720272377133,53.128927014768124,11518.0,5.311863473136229,0.0,5,5,6,6,8,9,11,12,40,53,53
GET,/login,1651,0,58,58.39817806486625,50.4991760244593,86.60562906879932,13.0,5.344233146951805,0.0,58,59,60,61,63,65,68,71,84,87,87
POST,/orders,1551,1551,71,68.1299225389381,22.82276109326631,122.29120405390859,227.0,5.020536408796033,5.020536408796033,71,73,75,76,79,82,86,89,120,120,120
,Aggregated,19129,1551,22,24.60248690310237,2.0727190421894193,122.29120405390859,3906.085210936275,61.919949041817745,5.020536408796033,22,25,28,31,60,70,75,78,89,120,120
