time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1720276506.055,0.021161534922766886,0.005693978601473099,0.0024979519306399718,0.0009957368183378186,0.005142857104710367,0.004539245430664497,0.004829575672035571,0.002176956290639784,0.03856657595017392,0.09560465018852118,0.004341041622476499,0.002956834463165088,0.006027114847962644,39196864.71158868,10394193.413294638,646251.2692170184,0,3184254.637376723,7426159.538256623,10427906.200992603,523602.34581244143,107485332.70200868,13210441.19414947,7556165.447948648,886031.6832395303,3128752.9045527824,15470721.289456008,902.81578899032,366.1065427243476,0,16624.91544130737,2500.5179813526715,151.14112285751187,1088.5703655144312,26740626.832510784,7426233.547658513,304.84696250814034,73.65184399331092,75.89823410602776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054931344766145146,0.0008678124019034846,0.00042253166507089714,0.00023035563806337973,0.0010357459108139113,0.0005746239660105096,0.0007592536743804145,0.0003799259092775373,0.008485690906263815,0.00794175324041822,0.0008416135663569264,0.0005757845590174249,0.0006810968892932903
1720276511.055,0.05634506394058858,0.007141968185867254,0.003010177411823836,0.0014455589046601268,0.010933814928063914,0.00704815464090248,0.0050144238761349385,0.0022333017860332208,0.03845656681593211,0.09617199197546737,0.004508178572738959,0.0036154891708479226,0.006411794435885821,46006863.84890438,7721168.869416621,637122.0051603392,2169.927476662831,3186638.4813885256,7476622.063367958,10428064.663763195,353928.34434720495,106999840.89631791,11105712.292041572,300.5687029902771,667856.6220264954,3060474.7802446764,22594808.324928947,2159.434253822241,647.0433363172029,0,38948.84937608257,7373227.00026062,151.17738244629808,1024.1828898017504,26620547.000489492,5615772.595394615,300.5687029902771,147.85402302999677,74.23652016311736,0,74.46325013180142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011078696779728725,0.0010676670827434558,0.0005587470969263184,0.0003620284885449846,0.001912479712827528,0.001354150658127416,0.0007910733488948996,0.00042290519806750636,0.0027568457030136754,0.008118296655748229,0.0008306319099145799,0.0006789184545424448,0.0005857883251508789
1720276516.055,0.12360784116751723,0.010971278468268932,0.003857027182658201,0.0019377588790182245,0.017357418346901573,0.008270264339925592,0.0049753612792182555,0.00196947799768015,0.005020910424147601,0.0943728446371536,0.0044317244560330895,0.003911273235191412,0.006400600327173367,44665946.67382934,7778433.783016969,647386.1068539046,3898383.661507463,2207887.3625877723,14634987.375027366,13068872.72592675,356848.4848484848,78689596.18871546,12935987.009974482,294.6232691961877,680220.1025527925,3037908.3914575395,29233976.040827285,5473.229485090883,948.9254018604983,0,60332.06375566346,7228305.626505144,75.80552625247535,965.0572712773668,946.563799907562,5456948.129115143,368.27908649523465,451.67337486905217,73.63198389300352,0,74.97574637110799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016828765381477623,0.0012917139911222657,0.0005386691332802151,0.0005040012473860682,0.0034290624455667077,0.0014961638399365262,0.0007680420890605814,0.00037463139010952,0.0007125869475913975,0.008447594227939566,0.0007653931957395902,0.0007207960542398587,0.0005209383782728304
1720276521.055,0.16865157755740373,0.014707379277773745,0.0046655386079406625,0.0026390593536640868,0.02407014392649355,0.011061383708819837,0.0050588956352285224,0.002254487599787121,0.004961108685479813,0.09705028909182588,0.004106874791500523,0.0046089204674361235,0.006790457867675938,51442041.65778062,5159656.470246312,816806.3737500226,3879286.7364588073,2214089.3997445726,21936190.904273786,10196062.286858771,176715.84175980132,79664487.22194226,11288917.773171233,297.04837189063744,445539.65824585414,3615790.909415503,36034506.86002701,7068.226404127007,1040.7070652075279,3579.5721438324986,98520.2213707961,14432807.469531693,73.90700276068638,1089.9414582224588,958.3183356129867,5711314.247296767,297.04837189063744,663.773700415939,219.37372799657226,0,74.40238320133692,0,0,0,0,0,0,0,0,0,0,73.12457599885742,0,0,0,0,0,0,0.030051536989544197,0.0013304245702108976,0.0005842184617292227,0.0005453853415170529,0.004147298355409289,0.002394235869041053,0.0007837345175062916,0.00043435381782805805,0.0007012859146382478,0.008454539966940504,0.0007499759157432887,0.0007988997534567724,0.0004789435022448278
1720276526.055,0.2926674868447048,0.018782779175681327,0.005768379917320055,0.0038594814536248904,0.03460335719895852,0.018425527096738937,0.0050348560341136155,0.002390735944386713,0.0046453969630059185,0.09394826969642855,0.004090993230104457,0.006013135958811309,0.007346264322654923,52003185.57497171,7745262.476592187,653866.4721969008,7814950.396243029,1214844.3439244153,21891376.219034255,10082000.570939193,354090.371591357,80114192.71700571,10790912,294.9945984875765,447226.5197362478,3701153.414594032,36433957.148758106,8489.427849390035,1045.4694621695535,3606.692104490754,121999.92704191442,21574949.598060485,73.08021695689408,1027.412477156269,815.4636936219503,5465088,294.9945984875765,887.9414687020142,149.7048665046326,0,74.46866534552662,0,0,0,0,0,0,0,0,0,0,74.8524332523163,0,0,0,0,0,0,0.04946008536600245,0.0017489356454786058,0.0007551220078316715,0.0006554389216334381,0.005528802511140839,0.0035755522071131787,0.0007802477979747451,0.00048690996765885414,0.0007268115786056268,0.00678994652380605,0.0007738271437405458,0.0011475299841784692,0.0005203434341287141
1720276531.055,0.31973877894060404,0.024417606436983073,0.007395133047275755,0.005060684214361178,0.049417063539624446,0.027598773379550655,0.005166344649272418,0.002499065915482602,0.0043083817383108,0.09484152350622332,0.004085136969851331,0.007849514617439178,0.008412192761002706,52794593.51877353,10537719.504046328,484535.0028457598,7760001.748697585,1268164.8998822146,28644192.60403384,10248175.055339841,363198.7941841443,78725707.15136856,11028566.339380225,372.627863394043,226914.6937514763,3007024.6403646204,44501067.76829157,8667.0131412874,1384.1775754126352,3581.332653284273,166671.37809187282,28242603.78239552,74.31868490764597,1054.0595187765382,728.4756433741796,7445295.1783041945,372.627863394043,1116.339916783255,145.84816977638513,0,76.02643106392456,0,0,0,0,74.31868490764597,0,0,0,0,0,72.92408488819257,0,0,0,0,0,0,0.05545052373376951,0.00314520232407381,0.0011150245979083702,0.0009707251770460697,0.008816787394646256,0.0037676830342881643,0.0008383771592253837,0.0005387538353329188,0.0006573609952597888,0.00899444944853279,0.0007305925748252206,0.0017781024950037326,0.0005591754902569534
1720276536.055,0.35644783988841877,0.03037488555469595,0.009594532800624634,0.006382066756562057,0.06210715416228216,0.03886298279831299,0.005072318442907842,0.002571495964385247,0.004300150191240627,0.09423790982189963,0.003832394822828935,0.00992689763033175,0.00916499791976759,52714614.25061425,10410945.129887987,647329.6312829213,7883004.968875262,209380.66113034275,36610079.23089673,7749102.111001354,357727.31550182775,79486260.05135664,10991220.215030288,297.4150450188789,223791.11150853973,3027395.2262252746,52038820.78661025,10212.40398188718,1755.271850727614,15434.619576260231,188148.72742273958,36106462.16181373,74.92774302125636,1186.0002171631256,735.5132970604608,7422188.360712401,297.4150450188789,1684.843065367075,146.90744759069634,0,150.18241149834088,0,0,0,0,74.92774302125636,0,0,0,0,0,73.45372379534817,0,0,0,0,0,0,0.05900149364901214,0.003671230676442548,0.0013143172431633909,0.00106146203524896,0.00905845455382945,0.003854032008046046,0.0007720664639729197,0.0005418946742340474,0.0006294367457083875,0.007291087939724976,0.000854078288278934,0.0022741917828700228,0.0007759100866221447
1720276541.055,0.3900799906414434,0.03943768196421429,0.011266145444056066,0.008359614369791761,0.07844179686095201,0.04738302533523851,0.00513923380211397,0.002908285944158576,0.004096655455080115,0.09362474359392559,0.004825530526922804,0.011367214646695007,0.009811959560550757,59173078.81943811,10317907.981152328,493391.179428243,7683252.929212937,403303.94431554526,43567909.7237488,7550619.681656953,349608.1905469206,81355226.58432584,10948497.698524881,7300640.9572551,229195.45346736966,3050425.3550648694,58405530.94332064,623412.8840940928,1765.2636115500645,15039.038174258923,385707.656612529,42978136.14713856,73.00857351656775,1231.2697823280814,677.5474194971328,9239418.651009388,7219373.459237368,2540.8038532411374,148.02500813125656,0,149.03487547073698,0,0,0,0,73.00857351656775,0,0,0,0,0,74.01250406562828,0,0,0,0,0,0,0.06738471905410326,0.0036836755246070453,0.001332497117278709,0.0010844546728440286,0.009440740077315206,0.0047711667282658125,0.0008687548925877275,0.000635895218494795,0.0005498838538744545,0.009304743114255179,0.0010084790818435888,0.0022643149235169226,0.000842657914386229
1720276546.055,0.42386606189473686,0.04649644837537471,0.014280124036955692,0.009897764184622524,0.09389067976000144,0.06621976971136287,0.005058168327536806,0.00274083347245409,0.004124179714408734,0.09416817839959482,0.004529172664735746,0.014294170568682705,0.010703109798612912,59038338.05034325,12804067.09490636,494627.60800842993,11732495.751538238,441447.4969030095,43454788.74680307,5089128.502694033,356173.9130434783,79405777.26750861,10926272.256990917,14665296.451846486,227752.872317364,3753742.536067945,65866904.311212815,621607.7445037547,13811.59114857745,17476.706709639613,425628.21540479484,42861714.28571428,73.81111131133656,594.6142120926181,587.8300803673937,7379853.127374018,7252307.603186096,3255.7265698388615,151.9118792419241,0,148.23124943454266,0,0,0,0,73.81111131133656,0,0,0,0,0,75.95593962096206,0,0,0,0,0,0,0.0690346860059301,0.0038876445719742106,0.0013672271100106678,0.0011973657987978637,0.011181966279688038,0.005997527121100926,0.0008041628064043407,0.0007171192138646176,0.0005101477651587674,0.009495151783277901,0.0009775709487646813,0.002572832587120816,0.0008979748997616701
1720276551.055,0.45668712290372404,0.05512799105538625,0.016420024376667015,0.01196950060786413,0.11729055258946455,0.08489964291430303,0.0051148556502964215,0.003097604804684658,0.003963852143655582,0.09271186046596024,0.0045045861289917605,0.01657945487193029,0.011822963403476668,57451816.56910978,10261743.024856875,695306.5582477154,11625710.14860917,477045.9503656981,49247638.64634645,5165267.949937788,179071.5065105114,53203100.99881008,10961140.368703732,14525667.031252801,225981.23404629875,3151022.2006460405,64148211.010162674,623126.8932531343,14252.696738274453,17837.455317450236,459453.91485614685,48579187.87900343,0,670.4008147232123,664.6233728770779,7403598.780664829,7183257.822165642,4831.12402077282,841.2719159026831,0,148.41655192405247,0,0,0,0,74.94693698309302,0,0,0,0,0,76.4792650820621,0,0,0,0,0,0,0.07810895224035806,0.0041931845520367704,0.0014839751041118053,0.0012118542655469187,0.0166075444993171,0.007702688398351316,0.0007641911906075037,0.0006634133947619938,0.00043289846404179926,0.009799071920335195,0.0009571718100377227,0.002671609489606773,0.0009048662137523457
