time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1720007129.484,0.0012386576106017415,0.005355256405533339,0.1843184485731433,0.12211969697745903,0.5743875713977217,0.039456746498108784,0.005203207363817958,0.0019079271184182978,0.0037831680391432866,0.08075604289048473,0.0027494655566853055,0.07360774310404548,0.03196394196925208,0,3678621.3044999912,2255366.4720539823,54224711.94379391,132413524.95096184,52437871.14515088,1209362.6302434811,378258.98650834424,53601635.45051699,8643810.12567325,12995853.29363062,3050997.6481741443,3480176.973720205,0,0,74.49846310543643,19099203.7470726,139667931.68853134,40419586.5276368,0,77.94333124012863,26690174.298375186,9104885.888689408,297.4798460309391,970.7753732839875,224.09862673937226,0,0,0,0,0,0,0,0,0,0,0,0,74.69954224645743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720007134.484,0.0012342579566635894,0.00532339066275618,0.16748751147324684,0.11122229232778211,0.5467679602077399,0.29608176226360905,0.0051971843657817075,0.0018623497118314305,0.003494572179655137,0.07928251037374792,0.002732038462229404,0.08397452951725387,0.03521032682423596,0,3683778.281961891,2205049.726318042,44184162.996619135,113343434.5913577,77545465.53270894,1856037.7581120944,364777.21082192287,52092529.49092931,8814774.414473806,12858268.570915299,3030468.6894303057,3516117.5321923993,0,0,73.02940075240252,14005223.619483747,122981820.87014377,56885557.25409984,0,75.18079365662054,25938736.385006007,9285061.729751507,294.33216563370166,964.5503124716965,830.0204483908406,0,0,0,0,0,16340487.125043957,0,0,0,0,0,0,75.45640439916733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720007139.484,0.0012078688509829967,0.005260338092042014,0.16522372933143575,0.11119162228956109,0.5709085315924621,0.6565030904029842,0.004968004874778008,0.0017922504975882655,0.0035436984216357563,0.0780174124429015,0.002712384459740214,0.09697826315594842,0.04221122880193185,0,3622775.917427032,2586205.559659142,53776880.5501624,102956311.41020693,107553021.37720123,1824353.7385379293,178326.4537646363,79089692.79110742,6599551.836287228,6465705.41795386,2482880.958544432,4651544.77434462,0,0,73.79249464031564,9471688.773566075,111669977.94821018,68382148.05785501,0,146.89164231024407,26255258.077991903,7414635.629453682,295.99118385634023,984.5789726711289,824.2504070394966,0,0,0,0,0,16282926.587823767,0,0,0,0,0,0,74.93185518540878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720007144.484,0.0011916174415841055,0.005285481223412063,0.17231343592831855,0.11519665753073306,0.5671450076510343,0.9797379509527485,0.004966016019539527,0.0018276572247158812,0.003393758541897232,0.07671414824028688,0.002698010526698511,0.12084387560192614,0.0516909473236736,0,4877857.121901129,2248995.364794336,45251408.53379258,73208999.68203498,112862414.39629316,1807971.840091951,189954.88492025595,77732820.16494697,6605987.561278993,6506774.103230733,3057580.621625565,3451454.785550189,0,0,74.74725354939962,14343766.813843139,110189807.31319556,82506214.75907402,0,156.4702511698978,25804770.752258204,7422070.681202897,297.87466138210647,971.2534656354879,889.1300808596081,0,0,0,0,0,16289961.65335153,0,0,0,0,0,0,74.09417340496735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720007149.484,0.0011682908325694433,0.005145129403892068,0.18907973388854002,0.12863838908810057,0.6472357153346304,1.3333619706044453,0.004781862145226692,0.0018229962239249184,0.003378360612895134,0.07591842905267461,0.002662174143570852,0.1361868999796744,0.058187121277648496,0,3609594.4440425374,2279446.6152084796,45423789.63240837,45210733.433679655,123449751.43272458,1857769.2591227423,182298.0533049822,77944315.32595854,6147902.545256567,6432511.880369531,3099833.182431309,3498665.102897249,0,0,75.63614876094103,9598684.246336035,81448581.81284189,88078072.23957375,0,225.2447116618396,25874980.274227615,6906947.597658909,294.4749991013336,983.9058371366804,900.7311843720794,0,0,0,0,0,22221246.890180662,0,0,0,0,0,0,75.06093203100662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720007154.484,0.0011585579230784552,0.005161590115804919,0.19571916867530373,0.13607778365684514,0.6830833784484016,1.6279791553607748,0.004822340055607043,0.0018126582783543046,0.0032537087019018198,0.07003759316738777,0.0026483193663122124,0.1432993047419546,0.0603691091018466,0,3616986.4622410694,2405753.808041244,54376568.01086118,44905486.498321414,131125894.73516074,2488879.9258572753,174038.60490348775,53493470.14595312,4553040.5217720345,6494612.129350706,3111028.325671066,4638230.745392567,0,0,137.12296207023533,9576821.634315487,80944950.51817253,83593830.20463994,0,215.039462401344,26638870.11646764,5753208.2331775455,297.31789641781296,987.0977309802757,896.0023333394097,0,0,0,0,0,22182021.836381637,0,0,0,0,0,0,74.66686111161748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720007159.484,0.0010853101965749173,0.00510360914862126,0.19359361115432616,0.13372887923190763,0.6775514801851055,1.9081444067253654,0.004676965964574649,0.0015310298548696043,0.0033949388816172433,0.07176238756023719,0.0024136120241427797,0.14268844562789584,0.0594204135317997,0,3886541.8289453187,2228611.0819660267,45125447.8285495,44069251.00057175,159027839.6777487,2989120.9237677753,226.31501399734788,52770103.54857475,6476583.078053063,6506121.368577972,3715683.606224503,4588111.213351375,0,0,74.09685413990846,4769524.199294757,59462623.21326472,88260856.02884912,0,226.31501399734788,26278720.18615474,7275516.239408108,0,982.9250733760359,665.1150202976995,0,0,0,0,0,38701956.374213934,0,0,0,0,0,0,73.90166892196662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720007164.484,0.0011385123150042657,0.005013767559954767,0.18883895117102792,0.13203182069846695,0.7024472336134759,2.13413771886607,0.004806224190547081,0.0014892868050853842,0.002479952445627231,0.06636885690426336,0.0024043916856532847,0.13779640054211467,0.06331232302047198,0,3959014.3812111956,2228980.193725604,45731259.01785053,66084943.14549438,196061037.5319302,3123828.8053591363,231.09907470097045,26638546.682573184,6758833.593001537,6471371.885284439,3687232.688046007,3823579.411705733,0,0,74.02052913112622,4833908.00681431,79446703.30065008,107875875.60993373,0,231.09907470097045,225.52996237496558,5699367.6655239,0,975.2202340616474,739.1574599482686,0,0,0,0,0,39072091.538038015,0,0,0,0,0,0,82.12860666091873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720007169.484,0.001134854205742863,0.005035202878449453,0.1866690531354279,0.12820656434292288,0.6908363089516862,2.4569585118740798,0.004671373159376356,0.0014468340284522515,0.0024970905042837666,0.0689260941606228,0.0022677152277057753,0.12811134028289872,0.055477474651725714,0,4789536.9983428195,2619480.169945843,35484102.71881622,67080979.83591615,218168543.6876976,3630935.1811751123,224.8618868826024,54539120.39681347,8543980.139379,76.51212313669818,3374181.9400683776,3227878.4636999173,0,0,74.68864535657627,9374107.10052796,60445385.15952599,123424179.94273932,0,224.8618868826024,230.87329024500227,7201066.2316244915,0,892.4046390024803,623.999187501058,0,0,0,0,0,46245731.17894943,0,0,0,0,0,0,69.33324305567311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720007174.484,0.0011281394680727533,0.005135286111874025,0.18122266645635796,0.12530767644208787,0.6696157535342662,2.71189225899888,0.0047351832558809774,0.0014252174956565363,0.002604412374662087,0.06929452545937571,0.0022200850043591724,0.12797261619097797,0.05568983595583288,0,3652088.5471024453,2584569.0593791683,45154253.07614955,66006885.68353068,215696235.3994848,3023933.7151914695,146.72851999785067,49669939.8377879,8891291.270016974,74.39697762278408,4263507.148956271,2314035.471958962,0,0,73.83639182319645,9543578.901179265,39601721.133835666,123802654.280732,0,146.72851999785067,490.6060709763526,7494295.623939193,0,967.3891321330597,670.5837411092718,0,0,0,0,0,51653161.41374108,73.77787384271768,0,0,0,0,0,74.50930456769687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
