Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2012,0,5,5.08422442275853,1.98672607075423,63.910217955708504,8649.0,6.510026638619347,0.0,5,5,6,6,8,10,12,13,51,64,64
GET,/catalogue,11033,0,8,8.6211423129159,4.15383093059063,82.80340605415404,2795.0,35.698371721613945,0.0,8,9,9,10,12,13,16,19,62,80,83
GET,/category.html,11037,0,5,5.577072932595357,1.9106980180367827,76.11202902626246,11518.0,35.71131412049788,0.0,5,6,7,7,9,11,13,16,58,75,76
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,1259,0,5,5.541632542604132,1.9537429325282574,22.195686935447156,10364.0,4.073620048718568,0.0,5,6,7,7,9,11,13,16,22,22,22
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,1196,0,5,5.696789163844597,1.9725029123947024,38.95850491244346,10364.0,3.8697772662965897,0.0,5,6,7,8,9,12,14,17,38,39,39
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,1163,0,5,5.571610443330084,2.004890004172921,53.578768973238766,10364.0,3.7630024755041256,0.0,5,6,7,7,9,11,14,17,47,54,54
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,1226,0,5,5.546365011495586,2.054804004728794,29.56240007188171,10364.0,3.966845257926103,0.0,5,6,7,7,9,11,13,16,22,30,30
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,1203,0,5,5.613734809885379,2.051576040685177,41.239986079744995,10364.0,3.8924264643434765,0.0,5,6,7,7,9,11,14,16,36,41,41
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,1167,0,5,5.732487482433754,2.0476150093600154,73.71520204469562,10364.0,3.7759448743880606,0.0,5,6,7,7,9,11,14,16,66,74,74
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,1230,0,5,5.639864687951721,2.0797119941562414,26.877453085035086,10364.0,3.9797876568100383,0.0,5,6,7,8,9,11,14,16,23,27,27
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,1207,0,5,5.59301321204156,2.1614159923046827,78.4838650142774,10364.0,3.9053688632274115,0.0,5,6,7,7,9,10,13,14,71,78,78
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,1223,0,5,5.708677753789361,2.105552004650235,64.49134601280093,10364.0,3.9571384587631515,0.0,5,6,7,7,9,11,14,16,33,64,64
GET,/login,2011,0,60,60.5480798505907,51.391143002547324,126.49424804840237,13.0,6.506791038898363,0.0,60,61,62,63,65,67,71,78,120,130,130
,Aggregated,36967,0,6,9.463722134570261,1.9106980180367827,126.49424804840237,7793.0983850461225,119.61041488560706,0.0,6,8,9,9,12,56,61,64,74,120,130
