service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
ts-news-service_energy_Anomaly_high,0,0,1,1799,0.0,0.0,0.0,0.0
ts-notification-service_energy_Anomaly_high,0,0,18,1782,0.0,0.0,0.0,0.0
ts-order-mongo_energy_Anomaly_high,0,0,23,1777,0.0,0.0,0.0,0.0
ts-order-other-mongo_energy_Anomaly_high,0,0,0,1800,0.0,0.0,0.0,0.0
ts-order-other-service_energy_Anomaly_high,4,0,2,1794,1.0,0.667,0.8,0.667
ts-order-service_energy_Anomaly_high,15,0,5,1780,1.0,0.75,0.857,0.75
ts-payment-mongo_energy_Anomaly_high,0,0,49,1751,0.0,0.0,0.0,0.0
ts-payment-service_energy_Anomaly_high,0,0,22,1778,0.0,0.0,0.0,0.0
ts-preserve-other-service_energy_Anomaly_high,0,0,27,1773,0.0,0.0,0.0,0.0
ts-preserve-service_energy_Anomaly_high,8,0,12,1780,1.0,0.4,0.571,0.4
ts-price-mongo_energy_Anomaly_high,0,0,4,1796,0.0,0.0,0.0,0.0
ts-price-service_energy_Anomaly_high,0,0,14,1786,0.0,0.0,0.0,0.0
ts-rebook-mongo_energy_Anomaly_high,0,0,80,1720,0.0,0.0,0.0,0.0
ts-rebook-service_energy_Anomaly_high,0,0,88,1712,0.0,0.0,0.0,0.0
ts-route-mongo_energy_Anomaly_high,0,0,0,1800,0.0,0.0,0.0,0.0
ts-route-plan-service_energy_Anomaly_high,0,0,90,1710,0.0,0.0,0.0,0.0
ts-route-service_energy_Anomaly_high,7,1,0,1792,0.875,1.0,0.933,0.875
ts-seat-service_energy_Anomaly_high,11,0,6,1783,1.0,0.647,0.786,0.647
ts-security-mongo_energy_Anomaly_high,0,0,18,1782,0.0,0.0,0.0,0.0
ts-security-service_energy_Anomaly_high,2,0,22,1776,1.0,0.083,0.153,0.083
ts-station-mongo_energy_Anomaly_high,0,0,0,1800,0.0,0.0,0.0,0.0
ts-station-service_energy_Anomaly_high,16,0,0,1784,1.0,1.0,1.0,1.0
ts-ticket-office-mongo_energy_Anomaly_high,0,0,67,1733,0.0,0.0,0.0,0.0
ts-ticket-office-service_energy_Anomaly_high,0,0,0,1800,0.0,0.0,0.0,0.0
ts-ticketinfo-service_energy_Anomaly_high,8,0,0,1792,1.0,1.0,1.0,1.0
ts-train-mongo_energy_Anomaly_high,0,0,0,1800,0.0,0.0,0.0,0.0
ts-train-service_energy_Anomaly_high,12,0,9,1779,1.0,0.571,0.727,0.571
ts-travel-mongo_energy_Anomaly_high,0,0,10,1790,0.0,0.0,0.0,0.0
ts-travel-plan-service_energy_Anomaly_high,0,0,71,1729,0.0,0.0,0.0,0.0
ts-travel-service_energy_Anomaly_high,14,1,0,1785,0.933,1.0,0.965,0.933
ts-travel2-mongo_energy_Anomaly_high,0,0,0,1800,0.0,0.0,0.0,0.0
ts-travel2-service_energy_Anomaly_high,0,0,0,1800,0.0,0.0,0.0,0.0
ts-ui-dashboard_energy_Anomaly_high,0,0,0,1800,0.0,0.0,0.0,0.0
ts-user-mongo_energy_Anomaly_high,0,0,4,1796,0.0,0.0,0.0,0.0
ts-user-service_energy_Anomaly_high,11,0,3,1786,1.0,0.786,0.88,0.786
ts-verification-code-service_energy_Anomaly_high,0,0,0,1800,0.0,0.0,0.0,0.0
ts-voucher-mysql_energy_Anomaly_high,0,0,34,1766,0.0,0.0,0.0,0.0
ts-voucher-service_energy_Anomaly_high,0,0,0,1800,0.0,0.0,0.0,0.0
