Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1720288642,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1720288643,1,,Aggregated,0.000000,0.000000,67,67,67,67,67,67,67,67,67,67,67,2,0,9.062831988558173,37.82733145635575,9.062831988558173,66.59183092415333,4331.0
1720288644,2,,Aggregated,0.000000,0.000000,29,29,67,67,94,94,94,94,94,94,94,6,0,11,36.07246446578453,6.951629999093711,93.99105492047966,5272.833333333333
1720288645,3,,Aggregated,0.000000,0.000000,29,36,66,67,94,94,94,94,94,94,94,9,0,29,36.045720089330445,5.537603981792927,93.99105492047966,4477.666666666667
1720288646,4,,Aggregated,2.000000,0.000000,13,36,66,67,71,94,94,94,94,94,94,13,0,13,32.385519213186434,5.537603981792927,93.99105492047966,4867.2307692307695
1720288647,5,,Aggregated,3.000000,0.000000,13,34,66,67,71,94,94,94,94,94,94,18,0,11,30.427705535354715,5.537603981792927,93.99105492047966,4791.611111111111
1720288648,6,,Aggregated,3.000000,0.000000,13,35,66,67,70,71,94,94,94,94,94,24,0,11,29.962964938022196,5.537603981792927,93.99105492047966,4551.0
1720288649,7,,Aggregated,3.250000,0.000000,29,38,66,66,70,71,94,94,94,94,94,28,0,13,31.01511808927171,5.537603981792927,93.99105492047966,4210.214285714285
1720288650,8,,Aggregated,3.600000,0.000000,13,35,43,66,70,72,94,94,94,94,94,36,0,13,29.449506792136365,5.537603981792927,93.99105492047966,4310.388888888889
1720288651,9,,Aggregated,4.000000,0.000000,13,35,38,43,69,71,94,94,94,94,94,46,0,13,28.585817988799967,5.537603981792927,93.99105492047966,4183.95652173913
1720288652,10,,Aggregated,4.000000,0.000000,32,36,39,43,67,71,72,94,94,94,94,54,0,32,29.644709914767493,5.537603981792927,93.99105492047966,3724.5185185185187
1720288653,11,,Aggregated,4.500000,0.000000,33,36,39,43,66,70,72,94,94,94,94,61,0,33,30.404549760011133,5.537603981792927,93.99105492047966,3439.1147540983607
1720288654,12,,Aggregated,5.111111,0.000000,32,36,39,43,67,70,72,94,94,94,94,70,0,32,29.636186675634235,5.537603981792927,93.99105492047966,3529.6285714285714
1720288655,13,,Aggregated,5.400000,0.000000,32,36,39,40,67,70,72,94,94,94,94,79,0,32,29.527926914794723,5.537603981792927,93.99105492047966,3418.3417721518986
1720288656,14,,Aggregated,5.900000,0.000000,32,35,38,39,66,70,72,94,94,94,94,89,0,32,29.51549500451957,5.537603981792927,93.99105492047966,3292.4044943820227
1720288657,15,,Aggregated,6.400000,0.000000,32,36,38,39,66,70,72,94,94,94,94,100,0,32,29.009102077689022,4.140850040130317,93.99105492047966,3537.0
1720288658,16,,Aggregated,7.000000,0.000000,32,36,38,39,66,70,71,72,94,94,94,111,0,32,29.192652627783787,4.140850040130317,93.99105492047966,3604.171171171171
1720288659,17,,Aggregated,7.600000,0.000000,32,36,38,40,66,70,72,94,110,110,110,125,1,32,29.95195364486426,4.140850040130317,109.51047600246966,3455.416
1720288660,18,,Aggregated,8.200000,0.000000,32,36,38,43,66,70,89,94,110,110,110,135,2,32,30.606715856292457,4.140850040130317,109.51047600246966,3329.4666666666667
1720288661,19,,Aggregated,8.700000,0.000000,32,36,38,39,66,70,89,94,110,110,110,148,2,32,30.35595639596215,4.140850040130317,109.51047600246966,3350.277027027027
1720288662,20,,Aggregated,9.700000,0.100000,32,36,38,39,65,70,87,94,110,110,110,166,3,32,30.106569593351512,4.140850040130317,109.51047600246966,3546.9518072289156
1720288663,21,,Aggregated,9.900000,0.200000,32,35,38,39,65,70,87,94,110,110,110,184,4,32,29.728625900410723,4.140850040130317,109.51047600246966,3832.2554347826085
1720288664,22,,Aggregated,10.200000,0.200000,32,35,38,40,65,70,87,94,110,110,110,200,5,32,29.8483160068281,3.0501639703288674,109.51047600246966,3918.875
1720288665,23,,Aggregated,11.200000,0.300000,32,36,38,44,66,71,86,89,110,110,110,224,8,32,30.18109421775859,3.0501639703288674,109.51047600246966,4016.714285714286
1720288666,24,,Aggregated,12.300000,0.400000,32,36,39,47,66,71,87,94,110,110,110,243,11,32,30.749857518630325,3.0501639703288674,109.51047600246966,3906.938271604938
1720288667,25,,Aggregated,13.000000,0.500000,32,36,39,43,66,71,86,94,110,110,110,261,11,32,30.2680960068679,3.0501639703288674,109.51047600246966,3924.808429118774
1720288668,26,,Aggregated,14.500000,0.800000,32,35,38,41,65,71,86,94,110,110,110,277,11,32,29.941194735733045,3.0501639703288674,109.51047600246966,3884.389891696751
1720288669,27,,Aggregated,15.400000,1.100000,31,35,38,41,65,71,86,94,110,110,110,300,12,31,29.489469478915755,3.0501639703288674,109.51047600246966,4022.1
1720288670,28,,Aggregated,16.100000,1.100000,31,35,38,40,65,71,83,89,110,110,110,317,13,31,29.550379362876882,3.0501639703288674,109.51047600246966,3980.700315457413
1720288671,29,,Aggregated,16.600000,1.100000,31,35,37,40,65,71,83,89,110,110,110,341,14,31,29.404510493332907,3.0501639703288674,109.51047600246966,3999.7360703812315
1720288672,30,,Aggregated,17.500000,1.100000,31,35,37,40,65,71,82,89,110,110,110,360,15,30,29.30699774717343,3.0501639703288674,109.51047600246966,3981.875
1720288673,31,,Aggregated,18.200000,1.100000,30,34,37,40,65,71,84,93,110,110,110,386,17,30,29.343755672374556,3.0501639703288674,109.51047600246966,3916.914507772021
1720288674,32,,Aggregated,19.300000,1.200000,30,34,37,40,65,71,84,89,110,110,110,414,20,30,29.18605469217848,3.0501639703288674,109.51047600246966,3966.6932367149757
1720288675,33,,Aggregated,19.400000,1.200000,29,34,37,40,65,71,85,89,110,110,110,433,21,29,29.04586731047557,3.0501639703288674,109.51047600246966,3932.3348729792147
1720288676,34,,Aggregated,20.200000,1.300000,29,34,37,40,64,71,85,89,110,110,110,461,22,29,29.066456605553014,3.0501639703288674,109.51047600246966,3864.0802603036877
1720288677,35,,Aggregated,21.400000,1.500000,29,34,37,40,64,71,86,89,110,110,110,479,23,29,29.160042490230754,3.0501639703288674,109.51047600246966,3785.396659707724
1720288678,36,,Aggregated,20.900000,1.300000,29,33,37,39,64,71,86,89,110,110,110,499,23,29,28.818168101378742,3.0501639703288674,109.51047600246966,3830.8256513026054
1720288679,37,,Aggregated,21.800000,1.100000,28,33,36,39,63,71,85,87,110,110,110,527,24,28,28.568347086520262,2.7670670533552766,109.51047600246966,3892.4307400379507
1720288680,38,,Aggregated,21.800000,1.200000,28,33,36,39,64,71,86,93,110,110,110,558,27,28,28.742827779252924,2.726014005020261,109.51047600246966,3874.6272401433694
1720288681,39,,Aggregated,22.200000,1.200000,28,33,36,40,65,72,86,93,110,110,110,589,31,28,28.978172393795578,2.726014005020261,109.51047600246966,3849.48896434635
1720288682,40,,Aggregated,24.100000,1.400000,28,33,36,39,64,71,85,89,110,110,110,613,31,28,28.653876516978645,2.726014005020261,109.51047600246966,3844.4551386623166
1720288683,41,,Aggregated,24.800000,1.700000,28,33,36,40,64,72,85,89,110,110,110,651,33,28,28.82702796116969,2.726014005020261,109.51047600246966,3878.3717357910905
1720288684,42,,Aggregated,24.800000,1.700000,28,33,36,40,64,78,85,89,110,110,110,690,37,28,28.87932471289853,2.726014005020261,109.51047600246966,3900.313043478261
1720288685,43,,Aggregated,26.400000,1.600000,28,32,36,40,64,78,85,87,110,110,110,722,40,28,28.821774360619308,2.726014005020261,109.51047600246966,3933.0304709141274
1720288686,44,,Aggregated,26.400000,1.600000,27,32,36,40,64,78,85,89,110,110,110,754,41,27,28.551073471610422,2.726014005020261,109.51047600246966,3915.3209549071616
1720288687,45,,Aggregated,28.800000,1.900000,27,32,36,39,64,78,85,89,110,110,110,790,43,27,28.368298027110345,2.6500090025365353,109.51047600246966,3883.932911392405
1720288688,46,,Aggregated,29.300000,1.900000,27,32,36,39,63,78,84,87,110,110,110,819,46,27,28.412889882379755,2.6500090025365353,109.51047600246966,3824.4957264957266
1720288689,47,,Aggregated,30.700000,1.900000,27,31,36,39,63,77,84,87,110,110,110,859,47,27,28.103968579315595,2.6500090025365353,109.51047600246966,3926.919674039581
1720288690,48,,Aggregated,31.900000,2.300000,27,31,35,39,63,76,84,87,110,110,110,900,49,26,27.935621491762706,2.6500090025365353,109.51047600246966,3968.2366666666667
