Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1647,0,4,4.794073820681864,2.0793210715055466,48.553043976426125,8649.0,5.332444278022407,0.0,4,5,5,6,7,8,10,11,26,49,49
GET,/basket.html,1556,0,4,4.578572885429003,2.031835028901696,44.208202976733446,23388.0,5.03781620923064,0.0,4,5,5,5,7,8,9,10,15,44,44
POST,/cart,9553,0,24,24.701998664245966,13.943678000941873,74.61453205905855,0.0,30.929471880964208,0.0,24,26,27,28,30,33,36,39,67,75,75
GET,/catalogue,1635,0,8,8.422607744742036,4.779014037922025,84.83802806586027,2795.0,5.293592224994921,0.0,8,9,9,9,11,12,14,17,37,85,85
GET,/category.html,1635,0,5,5.078333664958904,2.184377983212471,46.27108294516802,11518.0,5.293592224994921,0.0,5,5,6,6,8,9,11,12,18,46,46
GET,/login,1647,0,58,58.41572269241472,50.02515495289117,91.67496406007558,13.0,5.332444278022407,0.0,58,59,60,61,63,65,68,70,82,92,92
POST,/orders,1547,1547,72,68.9665351466215,22.06814498640597,109.59852894302458,227.0,5.008677169460026,5.008677169460026,72,74,76,77,80,83,86,88,96,110,110
,Aggregated,19220,1547,23,24.76452947882538,2.031835028901696,109.59852894302458,3871.5382934443287,62.228038265689534,5.008677169460026,23,26,28,31,60,70,76,79,88,96,110
