Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1661,0,4,4.823623662018304,2.030841074883938,48.34585904609412,8649.0,5.377235954236811,0.0,4,5,5,6,7,8,9,11,48,48,48
GET,/basket.html,1576,0,4,4.624886409737652,2.022741944529116,50.33588199876249,23388.0,5.1020613268375765,0.0,4,5,5,6,7,8,9,10,17,50,50
POST,/cart,9446,0,24,25.044760476919485,14.617198030464351,90.14823997858912,0.0,30.579994475449077,0.0,24,26,27,28,31,33,37,40,67,90,90
GET,/catalogue,1643,0,8,8.442066707143846,4.902290995232761,28.414704953320324,2795.0,5.318963680199326,0.0,8,9,9,10,11,12,15,17,25,28,28
GET,/category.html,1643,0,5,5.137017534604173,2.1217719186097383,48.567928024567664,11518.0,5.318963680199326,0.0,5,5,6,6,8,9,11,12,44,49,49
GET,/login,1661,0,58,58.15097489963358,18.24302796740085,83.52086308877915,13.0,5.377235954236811,0.0,58,59,60,61,63,65,67,69,80,84,84
POST,/orders,1561,1561,72,69.2791528225692,20.33679699525237,121.33943592198193,227.0,5.0535010984730055,5.0535010984730055,72,74,75,76,80,82,87,92,120,120,120
,Aggregated,19191,1561,23,24.955324351146594,2.022741944529116,121.33943592198193,3914.2137460267836,62.12795616963193,5.0535010984730055,23,26,29,32,60,70,76,79,91,120,120
