time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders-db_disk,payment_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1720263081.71,0.01232866691870761,0.0054682789757167964,0.0026729260130439435,0.0008552665037130187,0.0037447469941255065,0.0075629354016760065,0.005052566299006041,0.0019369938795475757,0.004377581965297146,0.09598735505304701,0.004576614970362857,0.0030298086984037686,0.006034180274174256,15298058.42431396,10261059.030485481,153714.95776756122,0,2136489.431400179,7310164.546286493,10148341.361708246,344464.13968394295,105874621.73873955,13129461.998044683,15298266.878704643,444638.21109626605,3734523.9488453395,7559667.158453822,891.3875337770442,291.9562350760897,0,17765.349633072852,2425.451739668754,147.24279243655187,3621.1736103436842,883.7903443315653,9229385.37857117,296.0821165245049,360.03094015891986,150.74063851320267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034830256597554814,0.0006538013917722892,0.00044305228366411323,0.00018729660640748997,0.0007425071197211462,0.0011561013936043124,0.0005311146007036859,0.0003570751547957687,0.0007067198322369298,0.011793807521664704,0.0006035257177174983,0.0005345353738361147,0.000521040267736099
1720263086.71,0.036621925350710516,0.006372189257457004,0.0030309361992004735,0.0012496732716484541,0.007395458116307677,0.007722011137996651,0.005211598309196634,0.0019126281426008202,0.004530001129148696,0.09634537071550411,0.004011332469299235,0.0032530483459196967,0.006157711299117737,22429872.459046066,10511585.750900785,157134.61090296326,0,2104726.934164115,15042750.845047008,7568975.763208694,507432.8070781026,108996983.95128,10860448.94514768,15557812.192072945,451552.3182118436,3675187.738908313,14750789.971943162,1445.4143605363843,513.9917179068892,0,37769.06411702566,2345.3702506511017,292.8433545435047,3571.8983340297586,1061.4738167076985,7330806.715144986,225.8989631590558,292.50352596718614,148.4084856609721,0,76.07444002823075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086001174278964,0.001054930590467234,0.0005502388081211648,0.00023885889557000362,0.0012341709045481464,0.0011789061478110836,0.0005084373684969425,0.0003331392169192923,0.0007451052844462465,0.010383150577917135,0.0005388137735764438,0.0005963317466524255,0.0005020045536821671
1720263091.71,0.0870636258116,0.008830276056286345,0.0036576467088676474,0.0019090040132632021,0.014721265136748995,0.009990076553625849,0.005111666297980589,0.0018331448999713022,0.004530739883671161,0.09412560207148808,0.004309847014588132,0.0037695481883926307,0.006529367971969572,29749820.450506,10383416.735465169,311510.85556744604,0,1100477.7011167223,22290022.242918972,7678923.043446726,499628.33789415314,131317695.68940905,13133959.801542753,7650595.563911133,459957.1174183232,3072204.4914038815,21957926.656752147,3306.437705248867,965.8099504833766,0,62566.04310406145,7337778.410854837,297.0914629723653,3589.7050669814525,950.042820439623,9239325.824792672,370.2163813517959,446.5603081731293,223.08153150699854,0,75.1463114829288,0,0,0,0,0,0,0,0,0,0,74.36051050233284,0,0,0,0,0,0,0,0.01679308664627426,0.001373182867625226,0.0005686133635421827,0.00033247513812048634,0.002165104994745033,0.002261123505732579,0.0005651633968650399,0.000422444603346161,0.0007835464099663664,0.012074921743288076,0.0005032181343920028,0.0005618499185627503,0.0004396435218184804
1720263096.71,0.1736597340394973,0.013433743792104371,0.004807579869667598,0.002826368236084157,0.02191812431247062,0.012579965722229327,0.005332023384120721,0.0019088057783642933,0.004503789746615906,0.09445444136358619,0.00433148747251943,0.004414937265016256,0.0067713469599577575,36571764.73967684,7551524.484971293,314473.02995454794,0,1162086.9254796966,22329646.942620404,7736664.401329971,511718.62978567503,105292388.46270764,13337568.93318133,7689590.871927178,459764.9708483935,3691747.764808712,28762817.953321364,5387.653530990598,1869.1929978277933,0,125676.46586345382,7352586.343765434,299.3167452226972,3676.5708005129145,952.1663716181176,9382781.745302098,446.5197405476117,446.3737581052364,223.7558497368757,0,72.80612879717023,0,0,0,0,0,0,0,0,0,0,74.58528324562523,0,0,0,0,0,0,0,0.020432250692944916,0.0016558289229805178,0.0006667362358891756,0.00041239889359714194,0.0025937212254044137,0.0033178003287665037,0.0006274656309838467,0.00039412673343519004,0.000833935599370206,0.010885609497121381,0.00043372775803884064,0.0006555920922200774,0.0006110583288258679
1720263101.71,0.2960984408978804,0.017738617052261853,0.006017633018867925,0.0038154852798974346,0.03370534780513632,0.01994760274521226,0.005205732945521701,0.00198817772087655,0.004398185215885624,0.0913904261472708,0.004145200274621062,0.006419863706577576,0.0075101781935202365,43481403.72448797,7943158.965156273,312624.6734397678,0,198072.24535059178,29550747.542416077,7815909.289012004,495304.4469377216,135571050.98732686,13129557.463146076,15290529.54886267,455184.68225742714,3686042.5439074943,35619256.38917682,7273.814864662778,2080.696661828737,0,186679.36808042615,14561782.567538047,226.92520775623268,3574.361988210362,754.494547597996,9242518.888768155,444.018862129397,956.4249021087041,223.41005781607942,0,76.56647225960819,0,0,0,0,0,0,0,0,0,0,74.47001927202648,0,0,0,0,0,0,0,0.0392454686597618,0.0017200927656419564,0.0007647941449695853,0.00043647684023948117,0.0036059764558004463,0.003775925609868702,0.0005645919590457919,0.000501954120342605,0.0008399030044204394,0.012971943995803472,0.0004051669259835321,0.0008663089814256226,0.0007930854135079294
1720263106.71,0.3314125654315198,0.022475200682509907,0.0073590535278017614,0.005034585852116526,0.0452324493318427,0.022045838072584385,0.005358895862372534,0.002084779916499485,0.004488143269196286,0.09082070156250001,0.004091736917213101,0.007625196858677395,0.008098246625054433,43546157.88714101,10444894.38657941,319018.35081467335,4301.274623406721,221044.46978335234,36479451.039752044,5173562.614628421,339427.06356521894,105486566.19728403,10981730.232558139,15287841.47112484,239420.3133939942,3065979.968065031,42996398.90316064,7928.4726702921935,2106.7249582101067,3633.835457705678,205135.68985176738,21558360.9038815,225.36864500036683,3701.494695367709,807.1948117094844,11123720.930232557,443.93865496125295,1133.9768553551983,222.9641457395848,0,75.50926352659232,0,0,0,0,75.12288166678894,0,0,0,0,0,74.32138191319494,0,0,0,0,0,0,0,0.04705351390800977,0.0018816246132274794,0.0011672824162304956,0.00042314461645089356,0.006695745406200845,0.0046252430745272015,0.0006312902518184836,0.0005127044179833492,0.0007483664297842555,0.01323786896052866,0.00041591722362427635,0.0012768366244861147,0.00104527220686564
1720263111.71,0.3678086027572822,0.02789957504908919,0.00920556882325021,0.006463204415297045,0.05984847763262178,0.03257456863072384,0.005292600891222752,0.00211448172634474,0.004614194656696373,0.09016944059882373,0.0040252430673924245,0.009157800596782565,0.008861788471509539,44225611.16095132,13049254.965545194,324671.072328307,4417.897125004649,254590.4991860104,44974564.66180753,5218020.597969787,329002.944235821,106864734.41385195,12916379.397611834,15511438.86658969,475751.2046852992,3019034.167098747,43659494.90104176,7924.236282566237,5458.5417503377275,3732.3613642280657,238856.53661124222,29529501.956638664,227.20633100974428,3682.8687787591903,892.099388351453,12724025.806451613,450.4316269863089,1138.705611980132,73.23309077255905,0,75.4689169768213,0,0,0,0,75.73544366991476,0,0,0,0,0,73.23309077255905,0,0,0,0,0,0,0,0.0547630119715125,0.002038260483282487,0.0012425567981254014,0.0004484082823245109,0.007404307779390046,0.005524619383017251,0.0006906757631796878,0.0004750725788002283,0.0007005170619738789,0.013529237692609547,0.0004272963087195592,0.0016881412951830978,0.00110057580824616
1720263116.71,0.40056094545986787,0.03804747663118136,0.011954212360016592,0.00844706503559951,0.07613459710097621,0.04957115170792169,0.0053577707942296365,0.0024697734745808583,0.00453095000366406,0.0884772170161623,0.003630420711381355,0.011364955298547606,0.009874120351983092,51451911.08183764,12812783.521604324,170626.65680846843,5138.608564101618,361950.36834579246,51441973.24195253,7565822.5630575055,503175.7593257656,107868862.37725341,13001146.465280643,23247602.03670464,460717.3749327595,3074481.2257465064,50788466.54591361,603137.1325995902,10119.416442753321,4534.066380089664,345268.91957934364,36171975.939630345,219.6599989274414,1108.805110898558,750.4030485123847,12807466.877141371,375.10531521301147,1322.0010758472295,74.62333072200258,0,74.26882558793132,0,0,0,0,73.21999964248046,0,0,0,0,0,74.62333072200258,0,0,0,0,0,0,0,0.05715748606507552,0.002559057167151899,0.0014259294978413819,0.0005746673294281997,0.008756124617373812,0.010927054115118016,0.0007236966829840837,0.0005442366160851829,0.000604415051742589,0.013592651496392175,0.0003554328970743633,0.002232105577006789,0.0013845770979535469
1720263121.71,0.4314079289368547,0.04491478167641324,0.01348248408462019,0.010359145776378899,0.09441249637846282,0.06622737240434665,0.005388414447348701,0.0024970036880536716,0.004659809240321384,0.08800615997635453,0.003996349488128929,0.01447749870110996,0.011058518293234848,43354423.99262433,12606423.949782712,332637.7577434616,6114.53237410072,455177.0823896066,58767557.30070313,5160934.544590469,513840.8391712072,107520448.79474068,13384846.951028023,15359851.303274522,237439.56982215197,2443333.4419522434,50199380.009761915,594874.8323407908,9944.764795144158,5525.179856115108,434321.91197521245,43380496.24691809,224.60655468021716,683.1980429222729,673.1921110299488,13187057.358727576,371.7418136934582,1562.5919668646793,74.150509603722,0,73.25142622100613,0,0,0,0,74.86885156007239,0,0,0,0,0,74.150509603722,0,0,0,0,0,0,0,0.06719545510555677,0.002648912493873758,0.0020849501394111366,0.0006212232291355718,0.00903350419542325,0.01587828129231446,0.0007896209758335989,0.0005574407224921147,0.0006308032507540131,0.01548589129471646,0.0003818210960857873,0.0029759469486942323,0.00181673398986763
1720263126.71,0.4779862668501179,0.05592408620702936,0.016096564820102795,0.012584447458081087,0.11666014798968212,0.09603709580719591,0.00551903592473612,0.002614856902446369,0.00476025853125348,0.08797829417196242,0.0037432810051924,0.017392472928449355,0.01258572332567754,42859204.91744693,12787832.96448137,494382.6384922901,8545.514439442188,485882.97853608715,50719047.083423465,7772061.312528684,328182.1048342811,81812701.7673867,10936089.366864014,22963922.0595951,234832.4259562697,2478145.852090032,49626197.4126224,607868.8096361064,10307.252998286693,7945.829215621684,465544.69740989205,42846820.96762564,225.57136301055533,798.1435227011036,682.9449034791952,11081365.994966779,222.3146925261882,1659.848124460419,75.25953146531924,0,148.60501396800058,0,0,0,0,75.19045433685177,0,0,0,0,0,75.25953146531924,0,0,0,0,0,0,0,0.06883546151714397,0.003311898313326921,0.0022321832097326696,0.0006098688521426003,0.009565583715318666,0.018170713666468104,0.000842005002618502,0.000572936107989679,0.0006440940828566106,0.01404187213404115,0.0003818855865275089,0.0032626653380116704,0.0018644355915869223
