Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1720275218,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1720275219,1,,Aggregated,0.000000,0.000000,70,70,70,70,70,70,70,70,70,70,70,2,0,10,39.578844502102584,9.554620017297566,69.6030689869076,4331.0
1720275220,2,,Aggregated,0.000000,0.000000,70,70,70,70,70,70,70,70,70,70,70,4,0,10,39.20886799460277,7.254255004227161,70.42352796997875,4331.0
1720275221,3,,Aggregated,1.000000,0.000000,29,70,70,70,70,70,70,70,70,70,70,8,0,11,34.06178612203803,5.269216024316847,70.42352796997875,5037.375
1720275222,4,,Aggregated,1.500000,0.000000,11,29,70,70,70,70,70,70,70,70,70,13,0,11,29.05887292805486,5.269216024316847,70.42352796997875,5664.461538461538
1720275223,5,,Aggregated,1.666667,0.000000,11,29,70,70,70,70,70,70,70,70,70,15,0,11,30.009426867278915,5.269216024316847,70.42352796997875,5486.666666666667
1720275224,6,,Aggregated,2.250000,0.000000,11,15,67,68,70,70,70,70,70,70,70,21,0,11,27.074446192099934,5.269216024316847,70.42352796997875,5694.666666666667
1720275225,7,,Aggregated,2.800000,0.000000,10,14,63,67,70,70,70,70,70,70,70,27,0,10,24.535079775550575,3.9004450663924217,70.42352796997875,6047.814814814815
1720275226,8,,Aggregated,2.666667,0.000000,8,11,15,63,70,70,70,70,70,70,70,38,0,8,21.203078844241407,3.9004450663924217,70.42352796997875,6304.4473684210525
1720275227,9,,Aggregated,3.142857,0.000000,8,11,14,29,70,70,70,70,70,70,70,47,0,8,19.59292529933551,3.005529986694455,70.42352796997875,6552.106382978724
1720275228,10,,Aggregated,3.500000,0.000000,7,10,11,15,68,70,70,70,70,70,70,57,0,7,18.256919689296762,3.005529986694455,70.42352796997875,6671.543859649123
1720275229,11,,Aggregated,4.333333,0.000000,7,10,11,15,68,70,70,70,70,70,70,63,0,7,18.066826213653837,3.005529986694455,70.42352796997875,6729.857142857143
1720275230,12,,Aggregated,4.800000,0.000000,7,9,11,14,67,70,70,70,70,70,70,75,0,7,16.912325484057266,2.610894967801869,70.42352796997875,6808.306666666666
1720275231,13,,Aggregated,5.700000,0.000000,7,9,11,12,67,70,70,70,70,70,70,86,0,7,16.28400549173442,2.610894967801869,70.42352796997875,6899.023255813953
1720275232,14,,Aggregated,6.100000,0.000000,7,9,11,11,67,70,70,72,72,72,72,98,0,7,15.745043533626108,2.610894967801869,72.02342699747533,6938.34693877551
1720275233,15,,Aggregated,7.100000,0.000000,7,10,11,14,65,70,70,70,72,72,72,109,0,7,15.971172069105396,2.610894967801869,72.02342699747533,7055.651376146789
1720275234,16,,Aggregated,7.800000,0.000000,7,10,11,12,64,70,70,72,73,73,73,126,0,7,15.359022446708488,2.610894967801869,73.08635103981942,7100.777777777777
1720275235,17,,Aggregated,8.500000,0.000000,7,10,11,12,64,70,70,72,73,73,73,140,0,7,15.029397700813465,2.610894967801869,73.08635103981942,7157.628571428571
1720275236,18,,Aggregated,9.400000,0.000000,7,9,11,11,64,68,70,72,73,73,73,154,0,7,14.572235417715577,2.610894967801869,73.08635103981942,7245.798701298701
1720275237,19,,Aggregated,10.500000,0.000000,7,9,11,11,64,68,70,72,73,73,73,168,0,7,14.610911149204531,2.610894967801869,73.08635103981942,7209.267857142857
1720275238,20,,Aggregated,11.300000,0.000000,7,9,10,11,63,68,70,72,73,73,73,189,0,7,14.034835725810833,2.5482060154899955,73.08635103981942,7224.41798941799
1720275239,21,,Aggregated,11.600000,0.000000,7,9,10,11,62,68,70,71,73,73,73,208,0,7,13.893690514333475,2.5482060154899955,73.08635103981942,7271.822115384615
1720275240,22,,Aggregated,12.100000,0.000000,7,9,10,11,62,67,70,71,73,73,73,225,0,7,13.593236831948161,2.5482060154899955,73.08635103981942,7309.271111111111
1720275241,23,,Aggregated,13.200000,0.000000,7,9,10,11,61,67,70,71,73,73,73,244,0,7,13.305136452039672,2.5482060154899955,73.08635103981942,7339.94262295082
1720275242,24,,Aggregated,14.500000,0.000000,7,9,10,11,62,65,70,71,73,73,73,264,0,7,13.499449983955305,2.5482060154899955,73.08635103981942,7310.42803030303
1720275243,25,,Aggregated,15.000000,0.000000,7,9,10,11,29,65,70,71,73,73,73,292,0,7,13.069428632287819,2.5482060154899955,73.08635103981942,7342.222602739726
1720275244,26,,Aggregated,15.800000,0.000000,7,9,10,11,23,65,70,70,73,73,73,313,0,7,12.897511507152393,2.5482060154899955,73.08635103981942,7383.44089456869
1720275246,27,,Aggregated,16.500000,0.000000,7,9,10,11,23,64,70,70,73,73,73,332,0,7,12.83342559914475,2.5482060154899955,73.08635103981942,7384.71686746988
1720275247,28,,Aggregated,18.200000,0.000000,7,9,10,11,23,64,70,70,73,73,73,352,0,7,12.680862878782632,2.5482060154899955,73.08635103981942,7465.042613636364
