Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1645,0,4,4.8066696117414125,2.0164030138403177,51.57446791417897,8649.0,5.32580061931699,0.0,4,5,5,6,7,8,10,11,43,52,52
GET,/basket.html,1558,0,4,4.608735543707402,2.240224974229932,40.9040100639686,23388.0,5.044132136714815,0.0,4,5,5,6,7,8,9,10,15,41,41
POST,/cart,9533,0,24,24.629581185320752,14.141505933366716,83.27112498227507,0.0,30.8637430419142,0.0,24,26,27,28,30,32,36,40,53,83,83
GET,/catalogue,1636,0,8,8.37210698878964,4.623526008799672,44.43589807488024,2795.0,5.29666250042711,0.0,8,9,9,9,11,12,14,17,43,44,44
GET,/category.html,1636,0,5,5.079899876635216,2.108355052769184,42.27633704431355,11518.0,5.29666250042711,0.0,5,5,6,6,8,9,10,12,18,42,42
GET,/login,1645,0,58,58.38472200826512,49.13724702782929,88.66609400138259,13.0,5.32580061931699,0.0,58,59,60,61,63,64,68,71,83,89,89
POST,/orders,1545,1545,72,68.89163958131785,21.104845916852355,122.63969099149108,227.0,5.0020437427627655,5.0020437427627655,72,74,75,76,80,82,86,90,110,120,120
,Aggregated,19198,1545,22,24.709298521546035,2.0164030138403177,122.63969099149108,3878.2309094697366,62.15484516087998,5.0020437427627655,22,25,28,31,60,70,76,79,89,110,120
