Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2009,0,5,5.4835438032506145,1.9519710913300514,70.06326096598059,8649.0,6.501606033172005,0.0,5,5,6,7,9,10,13,18,60,70,70
GET,/catalogue,10980,0,8,8.7588450334604,4.2397689539939165,137.0258000679314,2795.0,35.53391450683356,0.0,8,9,10,10,12,14,16,19,56,140,140
GET,/category.html,10980,0,5,5.726680462715133,1.9429039675742388,139.8548249853775,11518.0,35.53391450683356,0.0,5,6,7,7,9,11,13,16,61,77,140
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,1165,0,5,5.921310870688361,2.0895650377497077,68.19034705404192,10364.0,3.7702195264536518,0.0,5,6,7,8,10,12,14,18,59,68,68
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,1176,0,5,5.703534306301007,2.004861948080361,65.44020597357303,10364.0,3.8058181657592227,0.0,5,6,7,8,9,11,14,16,48,65,65
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,1220,0,5,5.749365432592506,2.04748404212296,74.37997497618198,10364.0,3.9482127229815065,0.0,5,6,7,7,9,11,14,16,50,74,74
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,1257,0,5,6.0074025232162604,2.0953919738531113,134.52237099409103,10364.0,4.0679536006456996,0.0,5,6,7,7,9,11,14,16,76,130,130
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,1230,0,5,5.708399310242385,2.1104479674249887,54.43933396600187,10364.0,3.9805751223502077,0.0,5,6,7,7,9,11,13,17,42,54,54
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,1173,0,5,5.909779107175094,2.0522200502455235,58.13926097471267,10364.0,3.7961094459486127,0.0,5,6,7,8,10,12,14,16,47,58,58
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,1198,0,5,5.969644008159252,2.11970298551023,72.65787397045642,10364.0,3.8770154443703646,0.0,5,6,7,7,9,12,15,19,68,73,73
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,1197,0,5,5.7858706782817055,2.164376899600029,70.55925892200321,10364.0,3.8737792044334944,0.0,5,6,7,7,9,11,14,15,59,71,71
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,1224,0,5,5.9573972714514,2.181716961786151,86.55435696709901,10364.0,3.961157682728987,0.0,5,6,7,8,9,12,14,17,79,87,87
GET,/login,2009,0,60,60.876973743750746,26.708123041316867,133.0330359051004,13.0,6.501606033172005,0.0,60,62,63,64,66,68,72,76,110,130,130
,Aggregated,36818,0,6,9.665469092188324,1.9429039675742388,139.8548249853775,7792.505242001195,119.15188199568288,0.0,6,8,9,9,12,56,62,64,75,130,140
